,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,pypi_id,updated_github_id,pypi_url,pypi_monthly_downloads,helm_id,trending,maven_id,maven_url,gem_url,brew_id,apt_id,github,github-id
12,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-03-26 00:41:49.000000,2026-03-25 14:09:56,10682.0,335.0,2294.0,145.0,4620.0,161.0,3556.0,13720.0,2026-03-10 15:50:52,1.20.0,114720782.0,3018967.0,100.0,2498.0,2498.0,550.0,,,,,1.0,,,,,,,,,,,,,,,,
13,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,openpolicyagent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2026-03-26 16:24:21.315108,2026-03-26 15:39:06,6259.0,189.0,1513.0,131.0,5490.0,369.0,2549.0,11532.0,2026-03-09 09:39:14,1.14.1,20537152.0,5339592.0,100.0,6578.0,6578.0,564.0,https://hub.docker.com/r/openpolicyagent/opa,2026-03-26 16:24:21.315108,47.0,613217039.0,1.0,,,,,,,,,,,,,,,,
14,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,40,True,nextauthjs/next-auth,,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2026-02-07 21:40:57.000000,2026-02-07 21:40:57,3940.0,1.0,3987.0,111.0,3336.0,385.0,4684.0,28181.0,2025-10-26 02:41:51,@auth/azure-tables-adapter@1.11.1,,14072494.0,100.0,479793.0,479793.0,899.0,,,,,1.0,next-auth,https://www.npmjs.com/package/next-auth,14072494.0,,,,,,,,,,,,,
15,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-03-25 16:17:16.000000,2026-03-25 15:38:16,1743.0,106.0,515.0,58.0,306.0,115.0,420.0,5255.0,2026-03-02 07:50:44,1.6.9,,113086382.0,50.0,50548.0,50548.0,141.0,,,,,1.0,,,,authlib,authlib/authlib,https://pypi.org/project/authlib,113086382.0,,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-03-26 12:13:47.000000,2026-03-01 18:29:26,10585.0,13.0,1640.0,136.0,1445.0,124.0,1057.0,11371.0,2025-04-07 17:05:07,1.0.3,,1803132.0,14.0,4102.0,4102.0,274.0,,,,,1.0,,,,speechbrain,,https://pypi.org/project/speechbrain,1803132.0,,,,,,,,,
17,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,38,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-03-25 22:04:57.000000,2026-03-13 09:09:43,1749.0,55.0,298.0,38.0,572.0,17.0,493.0,6868.0,2026-01-18 07:40:26,@casl/vue@2.2.6,,4840443.0,100.0,102100.0,102100.0,77.0,,,,,1.0,@casl/ability,https://www.npmjs.com/package/@casl/ability,4840443.0,,,,,,,,,,,,,
18,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-03-26 18:16:20.000000,2026-03-26 18:16:19,23060.0,673.0,4501.0,780.0,25132.0,1217.0,5298.0,35280.0,2026-03-05 06:37:01,1.21.4,,,100.0,15591.0,15591.0,1616.0,,,,,1.0,,,,,,,,,,,,,,,,
19,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,False,jaredhanson/passport,,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1233.0,292.0,165.0,354.0,430.0,23526.0,,,,27136463.0,,1320942.0,1320942.0,38.0,,,,,1.0,passport,https://www.npmjs.com/package/passport,27136463.0,,,,,,,,,,,,,
20,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,oryd/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-03-26 10:33:24.000000,2026-03-26 10:33:23,5068.0,116.0,1100.0,112.0,2251.0,148.0,1286.0,13571.0,2026-03-20 14:10:32,26.2.0,57278.0,1228457.0,49.0,55.0,55.0,244.0,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,22.0,115402293.0,1.0,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
21,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,oryd/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-03-25 18:33:18.000000,2026-03-25 18:33:17,4426.0,71.0,1511.0,235.0,1936.0,99.0,1490.0,17099.0,2026-03-20 13:23:08,26.2.0,540403.0,3307069.0,100.0,,,321.0,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,78.0,429171758.0,2.0,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
22,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,animcogn/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13463.0,1545.0,250.0,778.0,598.0,56251.0,2018-04-02 17:18:43,1.2.2,1449.0,231588.0,2.0,5624.0,5624.0,54.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,10726.0,1.0,,,,face_recognition,,https://pypi.org/project/face_recognition,231476.0,,,,,,,,,
23,casdoor,https://github.com/casdoor/casdoor,idp,An open-source AI-first Identity and Access Management (IAM) /AI MCP gateway and auth server with web UI supporting..,,,35,True,casdoor/casdoor,casbin/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-03-26 15:21:50.205901,2026-03-26 15:02:11,3358.0,216.0,1588.0,74.0,2718.0,109.0,2137.0,13248.0,2026-03-26 15:13:53,2.370.0,1211.0,17564.0,100.0,12.0,12.0,278.0,https://hub.docker.com/r/casbin/casdoor,2026-03-26 15:21:50.205901,23.0,1062973.0,1.0,,,,,,,,,,,,,,,,
24,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",35,True,spiffe/spire,ghcr.io/spiffe/spire-server,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-03-26 16:04:11.000000,2026-03-26 08:56:44,7706.0,213.0,581.0,77.0,5102.0,110.0,1574.0,2270.0,2026-03-19 20:04:54,1.14.4,818850.0,13647.0,100.0,208.0,208.0,252.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,2.0,,,,,,,,,,,,,,,,
25,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-03-16 07:26:47.000000,2026-03-16 07:26:47,4900.0,5.0,1943.0,188.0,1920.0,264.0,1754.0,12569.0,2025-03-05 07:11:35,r1.5.0,,1624391.0,17.0,168.0,168.0,162.0,,,,,2.0,,,,paddlepaddle,,https://pypi.org/project/paddlepaddle,1624391.0,,,,,,,,,
26,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-03-26 14:06:07.174184,2026-03-26 12:22:26,32414.0,1331.0,3925.0,583.0,7360.0,,,11439.0,2026-03-26 02:32:20,7.2.7.1,3602.0,8566.0,100.0,21.0,21.0,374.0,https://hub.docker.com/r/apereo/cas,2026-03-26 14:06:07.174184,131.0,1477424.0,2.0,,,,,,,,,-1.0,,,,,,,
27,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-03-26 18:42:41.000000,2026-03-25 20:11:36,9141.0,482.0,1364.0,162.0,9201.0,60.0,1356.0,27314.0,2026-03-14 08:28:15,4.39.16,46162.0,732.0,100.0,,,282.0,,,,,2.0,,,,,,,,,,,,,,,,
28,casbin,https://github.com/apache/casbin,authorization,"Apache Casbin: an authorization library that supports access control models like ACL, RBAC, ABAC.",,,33,True,casbin/casbin,,https://github.com/apache/casbin,Apache-2.0,2017-04-08 07:51:23,2026-03-23 12:21:37.000000,2026-03-23 12:21:23,1165.0,17.0,1724.0,234.0,642.0,47.0,889.0,19956.0,2026-01-26 17:06:22,3.10.0,,2168181.0,100.0,,,163.0,,,,,2.0,casbin,https://www.npmjs.com/package/casbin,561427.0,casbin,apache/casbin,https://pypi.org/project/casbin,1606754.0,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
29,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-03-26 14:29:25.947794,2026-03-26 12:28:02,4228.0,169.0,320.0,41.0,5069.0,81.0,1000.0,4738.0,2026-03-17 22:56:18,0.32.4,56496.0,18758569.0,100.0,23.0,23.0,101.0,https://hub.docker.com/r/pomerium/pomerium,2026-03-26 14:29:25.947794,13.0,1613163374.0,2.0,,,,,,,,,,,,,,,,
30,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-02-11 01:26:55.000000,2025-10-07 20:35:19,3632.0,,421.0,28.0,563.0,98.0,362.0,604.0,2025-10-07 20:02:21,7.5.4,,2831150.0,55.0,2211.0,2211.0,181.0,,,,,2.0,,,,pysaml2,,https://pypi.org/project/pysaml2,2831150.0,,,,,,,,,
31,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,animcogn/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2026-03-18 22:04:44.000000,2026-03-18 22:04:44,2389.0,3.0,5886.0,511.0,211.0,1217.0,1395.0,28197.0,2023-04-02 07:43:27,0.7,12550000.0,358573.0,1.0,4965.0,4965.0,67.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,257.0,2.0,,,,,,,,,,,,,,,,
32,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],32,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-03-26 14:41:22.000000,2026-03-26 14:41:19,3800.0,203.0,1797.0,167.0,3165.0,337.0,882.0,10681.0,2026-03-03 13:43:12,2.45.1,362.0,2.0,94.0,194.0,194.0,294.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,,,,,,
33,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-03-26 16:58:52.000000,2026-03-26 15:05:50,5478.0,157.0,368.0,49.0,2338.0,103.0,471.0,6551.0,2026-03-24 16:27:50,1.51.0,198896.0,139696.0,100.0,154.0,154.0,75.0,https://hub.docker.com/r/authzed/spicedb,2026-03-24 16:42:28.002810,7.0,7428954.0,2.0,,,,,,,,,,,,,,,,
34,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-03-25 20:58:32.000000,2026-03-25 20:58:31,1895.0,82.0,375.0,55.0,1406.0,42.0,293.0,5303.0,2026-03-20 14:29:37,26.2.0,44114.0,536352.0,55.0,41.0,41.0,86.0,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,10.0,51441788.0,2.0,,,,,,,,,,,,,,,,
35,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-03-25 21:05:41.000000,2026-03-25 21:05:36,2782.0,47.0,762.0,66.0,284.0,,1.0,3709.0,2026-03-18 11:58:17,9.7.1,,906326.0,100.0,2077.0,2077.0,76.0,,,,,2.0,oidc-provider,https://www.npmjs.com/package/oidc-provider,906326.0,,,,,,,,,,,,,
36,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-03-25 18:33:56.000000,2026-03-25 18:33:46,1664.0,60.0,389.0,48.0,772.0,65.0,309.0,3586.0,2026-03-20 11:40:09,26.2.0,25239.0,889377.0,100.0,16.0,16.0,123.0,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,44.0,90690753.0,2.0,,,,,,,,,,,,,,,,
37,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,32,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-02-28 14:03:09.000000,2026-02-28 14:03:09,1818.0,34.0,492.0,62.0,530.0,86.0,305.0,2960.0,2025-06-20 05:53:03,3.3.1,,296352025.0,50.0,,,202.0,,,,,2.0,,,,oauthlib,,https://pypi.org/project/oauthlib,296352025.0,,-9.0,,,,,,,
38,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-03-26 17:48:21.000000,2026-03-26 17:48:21,18313.0,772.0,957.0,108.0,9406.0,1475.0,16270.0,882.0,2025-10-24 04:51:27,7.2.0,21225.0,14439.0,100.0,,,747.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,2009787.0,2.0,,,,,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-03-26 19:01:45.000000,2026-03-26 19:00:11,21311.0,1179.0,1524.0,70.0,16473.0,812.0,3243.0,20674.0,2026-03-03 20:13:59,ersion/2026.2.1,6108.0,234.0,100.0,,,521.0,,,,,2.0,,,,,,,,https://charts.goauthentik.io,,,,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-03-26 15:58:40.000000,2026-03-26 15:51:45,8330.0,309.0,730.0,50.0,7602.0,168.0,625.0,11768.0,2026-02-28 09:31:48,1.37.1,7618.0,6908.0,81.0,8.0,8.0,85.0,https://hub.docker.com/r/svhd/logto,2026-03-26 15:57:24.948319,6.0,384523.0,2.0,,,,,,,,,,,,,,,,
41,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,31,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-03-26 17:31:30.000000,2026-03-26 02:48:40,2667.0,97.0,310.0,21.0,2804.0,230.0,968.0,4722.0,2026-03-13 05:28:21,1.9.2,420.0,9155.0,55.0,42.0,42.0,149.0,https://hub.docker.com/r/kanidm/server,2026-03-20 01:54:51.431132,4.0,777826.0,2.0,,,,,,,,,,,,,,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-03-26 05:35:52.000000,2026-03-26 05:35:49,5043.0,90.0,303.0,188.0,6144.0,110.0,284.0,4025.0,2026-02-13 13:52:10,0.21.1,,308391.0,74.0,13.0,13.0,203.0,https://hub.docker.com/r/hashicorp/boundary,2026-02-13 14:00:41.345158,19.0,22820950.0,3.0,,,,,,,,,,,,,,,,
43,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-03-26 16:52:50.000000,2026-03-26 11:33:44,4397.0,256.0,991.0,60.0,7410.0,841.0,2672.0,13362.0,2026-03-23 07:23:30,4.13.0,15625.0,1562.0,100.0,1.0,1.0,245.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,https://charts.zitadel.com,,,,,,,,
44,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-03-26 14:55:22.000000,2026-03-20 20:29:58,3030.0,45.0,139.0,59.0,337.0,40.0,322.0,1087.0,2026-01-22 14:54:05,5.9.0,41709.0,35033.0,46.0,227.0,227.0,53.0,,,,,2.0,,,,yubikey-manager,,https://pypi.org/project/yubikey-manager,34674.0,,,,,,,,,
45,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-03-26 18:25:22.000000,2026-03-26 14:08:11,35773.0,298.0,168.0,30.0,7884.0,291.0,5193.0,616.0,2026-01-22 17:46:22,1.16.0,9199.0,317.0,100.0,16.0,16.0,143.0,,,,,3.0,,,,,,,,,,,,,,,,
46,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-12-15 10:18:21.000000,2025-06-26 01:05:47,166.0,,11748.0,717.0,359.0,,,96678.0,2025-06-26 01:06:09,20250625,,1871644.0,13.0,21.0,21.0,79.0,,,,,2.0,,,,openai-whisper,,https://pypi.org/project/openai-whisper,1871644.0,,,,,,,,,
47,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-03-24 17:26:04.000000,2026-03-24 17:25:12,1864.0,11.0,13269.0,1525.0,540.0,2.0,896.0,55080.0,2025-12-21 02:44:08,3.0.0,76578.0,900.0,5.0,,,98.0,,,,,2.0,,,,,,,,,,,,,,,,
48,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-03-26 17:48:40.000000,2026-03-26 15:02:07,7305.0,95.0,617.0,132.0,5365.0,176.0,3117.0,5693.0,2026-03-24 16:57:23,0.20260324.0,34632.0,16777.0,100.0,,,147.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-03-09 18:18:10.190464,13.0,2052451.0,2.0,,,,,,,,,,,,,,,,
49,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2026-03-26 09:32:05.000000,2026-03-26 09:31:59,2552.0,32.0,1041.0,102.0,895.0,46.0,856.0,5467.0,2026-03-04 12:04:39,.5.9.0,,,71.0,11130.0,11130.0,339.0,,,,,2.0,,,,,,,,,,,,doorkeeper,,,,
50,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,29,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2026-01-04 22:01:38.000000,2026-01-04 21:59:47,9734.0,14.0,555.0,52.0,7294.0,,1780.0,4607.0,2025-06-30 22:09:21,ockam_v0.157.0,15107.0,328.0,100.0,189.0,189.0,318.0,,,,,3.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,
51,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,bamos/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3479.0,740.0,77.0,5.0,382.0,15487.0,2024-10-04 12:56:15,0.2.2,,1298.0,5.0,96.0,96.0,31.0,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163657.0,3.0,,,,,,,,,,,,,,,,
52,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,ghcr.io/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-03-25 16:56:23.000000,2026-03-25 16:56:22,2434.0,171.0,173.0,33.0,2587.0,49.0,367.0,4290.0,2026-02-04 09:23:48,0.51.0,59472.0,991.0,75.0,34.0,34.0,33.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,3.0,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,,
53,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],28,True,nodesolidserver/node-solid-server,nodesolidserver/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2026-03-21 18:56:41.000000,2026-01-11 10:32:45,3308.0,27.0,300.0,73.0,894.0,298.0,644.0,1797.0,2026-01-07 15:47:40,6.0.0,,9586.0,60.0,3.0,3.0,90.0,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1005426.0,1.0,solid-server,https://www.npmjs.com/package/solid-server,2301.0,,,,,,,,,,,,,
