,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-01-13 13:42:47.000000,2024-12-20 00:28:38,4045.0,51.0,2089.0,236.0,4529.0,186.0,2170.0,12766.0,2024-11-21 19:41:27,1.12.0,70.0,13376.0,13376.0,414.0,,,2983468.0,1.0,coredns/coredns,8227993.0,https://hub.docker.com/r/coredns/coredns,2024-11-21 19:43:25.886232,157.0,307526112.0,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-01-16 18:22:08.000000,2025-01-16 17:25:49,9220.0,94.0,2058.0,150.0,3780.0,157.0,3302.0,12349.0,2025-01-16 16:32:45,1.16.3,100.0,1463.0,1463.0,477.0,,,2881011.0,1.0,,106597427.0,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-01-15 19:32:30.029101,2025-01-15 18:51:02,5423.0,101.0,1354.0,129.0,4576.0,388.0,2290.0,9910.0,2024-12-20 21:43:27,1.0.0,100.0,4848.0,4848.0,496.0,,,5651503.0,1.0,openpolicyagent/opa,11507076.0,https://hub.docker.com/r/openpolicyagent/opa,2025-01-15 19:32:30.029101,43.0,594388576.0,,,,,,,,,,,,
15,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-01-10 17:16:28.000000,2025-01-10 17:16:28,1759.0,90.0,2346.0,160.0,265.0,6.0,1150.0,16827.0,2024-08-17 07:30:49,0.0.93,13.0,5154.0,5154.0,78.0,,,309445.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,309445.0,,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-01-16 14:29:48.000000,2025-01-16 14:29:47,10379.0,114.0,1390.0,134.0,1314.0,98.0,1017.0,9194.0,2024-10-31 10:06:07,1.0.2,13.0,2726.0,2726.0,251.0,,,1926634.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,1926634.0,,,,,,,,,
17,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],38,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2025-01-16 15:48:41.000000,2025-01-16 15:48:40,27199.0,789.0,6805.0,384.0,18457.0,1721.0,11238.0,24705.0,2025-01-15 10:45:14,26.1.0,72.0,,,1541.0,,,72291.0,1.0,quay.io/keycloak/keycloak,3542261.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
18,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,38,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-12-08 07:28:29.000000,2024-12-08 07:28:28,1701.0,2.0,474.0,63.0,493.0,83.0,293.0,2840.0,2023-01-10 13:13:43,3.2.2,48.0,591398.0,591398.0,197.0,,,114275352.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,114275352.0,-1.0,,,,,,,,
19,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-01-15 16:57:30.000000,2025-01-15 16:57:28,4532.0,127.0,946.0,112.0,2119.0,188.0,1172.0,11472.0,2024-10-28 10:21:42,1.3.1,47.0,327.0,327.0,229.0,,,1425299.0,1.0,oryd/kratos,47777.0,https://hub.docker.com/r/oryd/kratos,2024-10-28 10:21:35.092736,19.0,113960284.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
20,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2024-12-20 08:47:38.000000,2024-12-20 08:47:18,1439.0,15.0,458.0,61.0,218.0,91.0,364.0,4648.0,2024-08-30 14:26:59,1.3.2,35.0,38202.0,38202.0,125.0,,,14583921.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,14583921.0,,,,,,,,,
21,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2025-01-16 18:11:31.000000,2025-01-15 19:24:49,20689.0,293.0,4147.0,811.0,22975.0,1057.0,5155.0,31566.0,2024-12-18 17:20:05,1.18.3,100.0,14345.0,14345.0,1549.0,,,,1.0,,,,,,,,,,,,,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1224.0,301.0,161.0,347.0,429.0,23109.0,,,,1184537.0,1184537.0,38.0,https://www.npmjs.com/package/passport,9119581.0,9119581.0,2.0,,,,,,,,,,,,,,,,,,
23,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,36,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-12-28 12:15:32.000000,2024-12-28 12:11:50,1109.0,3.0,1652.0,242.0,516.0,43.0,793.0,18052.0,2024-12-28 12:13:32,2.103.0,100.0,3298.0,3298.0,151.0,https://www.npmjs.com/package/casbin,196619.0,311185.0,1.0,,,,,,,casbin,https://pypi.org/project/casbin,114566.0,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
24,ory-hydra,https://github.com/ory/hydra,authentication,The most scalable and customizable OpenID Certified OpenID Connect and OAuth Provider on the market. Become an OpenID..,,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-01-16 16:02:16.000000,2025-01-16 12:24:59,3986.0,104.0,1403.0,237.0,1868.0,86.0,1446.0,15849.0,2024-02-12 11:37:33,2.2.0,100.0,3.0,3.0,302.0,,,3681302.0,2.0,oryd/hydra,886224.0,https://hub.docker.com/r/oryd/hydra,2025-01-15 11:08:11.702733,77.0,425777526.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
25,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,36,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-01-12 03:45:55.000000,2025-01-12 03:42:11,1656.0,39.0,274.0,39.0,459.0,18.0,464.0,6169.0,2025-01-08 18:56:30,@casl/angular@9.0.3,100.0,88527.0,88527.0,70.0,https://www.npmjs.com/package/@casl/ability,2138103.0,2138103.0,1.0,,,,,,,,,,,,,,,,,,
26,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13289.0,1570.0,234.0,757.0,593.0,53946.0,2018-04-02 17:18:43,1.2.2,2.0,3899.0,3899.0,54.0,,,115302.0,2.0,animcogn/face_recognition,1401.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,8930.0,face_recognition,https://pypi.org/project/face_recognition,115192.0,,,,,,,,,
27,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,35,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-01-16 09:31:23.000000,2025-01-16 09:31:22,4832.0,71.0,1859.0,184.0,1821.0,549.0,1387.0,11387.0,2024-06-27 03:45:31,r1.4.2,16.0,134.0,134.0,153.0,,,290932.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,290932.0,,,,,,,,,
28,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-01-16 15:28:46.000000,2025-01-16 10:50:41,9138.0,191.0,558.0,58.0,6795.0,326.0,1461.0,4503.0,2025-01-09 21:51:22,ockam_v0.146.0,100.0,187.0,187.0,318.0,,,11582.0,2.0,,393792.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,
29,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,33,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3680.0,343.0,111.0,444.0,393.0,16884.0,2020-03-22 14:01:55,0.22.2,38.0,11668.0,11668.0,25.0,https://www.npmjs.com/package/face-api.js,91517.0,91517.0,2.0,,,,,,,,,,,,,,,,,,
30,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-01-16 09:28:36.000000,2025-01-16 09:28:33,26359.0,452.0,3900.0,602.0,4973.0,,,11128.0,2024-12-06 13:19:28,7.1.3,100.0,21.0,21.0,358.0,,,6996.0,2.0,apereo/cas,,https://hub.docker.com/r/apereo/cas,2025-01-16 00:35:40.664247,131.0,1119516.0,,,,,,,,,,,,
31,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,33,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-01-14 14:58:43.474347,2025-01-14 14:43:49,2637.0,73.0,1240.0,75.0,1713.0,108.0,1454.0,10823.0,2025-01-14 14:52:24,1.798.0,100.0,7.0,7.0,211.0,,,8524.0,2.0,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2025-01-14 14:58:43.474347,17.0,434744.0,,,,,,,,,,,,
32,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-01-16 17:13:46.000000,2025-01-14 22:53:36,4423.0,280.0,284.0,45.0,1649.0,97.0,397.0,5301.0,2024-12-12 19:35:21,1.39.1,88.0,93.0,93.0,54.0,,,91694.0,2.0,authzed/spicedb,119928.0,https://hub.docker.com/r/authzed/spicedb,2024-12-12 19:47:49.682853,7.0,3636555.0,,,,,,,,,,,,
33,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-01-16 17:50:41.526638,2025-01-16 16:53:06,3632.0,66.0,284.0,40.0,4340.0,97.0,937.0,4120.0,2024-11-11 19:02:17,0.28.0,100.0,19.0,19.0,94.0,,,22396494.0,2.0,pomerium/pomerium,65831.0,https://hub.docker.com/r/pomerium/pomerium,2025-01-16 17:50:41.526638,11.0,1612464540.0,,,,,,,,,,,,
34,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,32,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-01-04 20:56:17.000000,2025-01-04 20:56:16,154.0,10.0,8727.0,606.0,284.0,,,74419.0,2024-09-30 18:21:20,20240930,12.0,21.0,21.0,73.0,,,489729.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,489729.0,,,,,,,,,
35,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2024-12-05 07:41:28.000000,2024-12-05 07:41:28,2348.0,10.0,5408.0,515.0,184.0,1139.0,1386.0,24036.0,2023-04-02 07:43:27,0.7,1.0,3227.0,3227.0,63.0,,,294209.0,3.0,animcogn/insightface,6178351.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,182.0,,,,,,,,,,,,
36,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-01-15 02:32:06.000000,2025-01-12 21:35:59,6706.0,397.0,1149.0,166.0,6639.0,59.0,1226.0,22445.0,2025-01-01 05:36:55,4.38.18,100.0,,,195.0,,,834.0,2.0,,47566.0,,,,,,,,,,,,,,,,
37,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-01-16 18:16:19.000000,2025-01-16 18:14:28,7006.0,115.0,475.0,77.0,4257.0,146.0,1379.0,1843.0,2024-12-12 19:48:53,1.11.1,100.0,168.0,168.0,204.0,,,6794.0,2.0,ghcr.io/spiffe/spire-server,461997.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
38,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-01-16 17:24:05.000000,2025-01-09 20:53:08,4517.0,114.0,284.0,196.0,5047.0,114.0,264.0,3897.0,2024-12-12 19:06:20,0.18.2,66.0,10.0,10.0,177.0,,,300152.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2024-12-12 18:27:36.882545,18.0,18009161.0,,,,,,,,,,,,
39,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,31,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-01-16 09:10:47.000000,2025-01-16 09:10:43,2536.0,19.0,750.0,72.0,250.0,,,3283.0,2024-11-21 09:30:37,8.6.0,100.0,1534.0,1534.0,73.0,https://www.npmjs.com/package/oidc-provider,186979.0,186979.0,2.0,,,,,,,,,,,,,,,,,,
40,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,31,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-01-16 16:21:06.000000,2025-01-16 16:21:06,14594.0,585.0,731.0,117.0,7515.0,1065.0,13554.0,786.0,2024-03-04 08:48:32,7.0.0,100.0,,,714.0,,,15407.0,2.0,wso2/wso2is,14465.0,https://hub.docker.com/r/wso2/wso2is,2024-03-08 07:03:37.681569,35.0,1947118.0,,,,,,,,,,,,
41,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,31,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2024-08-16 16:34:15.000000,2024-04-24 15:14:06,3605.0,,401.0,30.0,534.0,84.0,357.0,570.0,2024-01-30 11:50:06,7.5.0,51.0,1938.0,1938.0,174.0,,,694796.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,694796.0,,,,,,,,,
42,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-01-16 04:55:58.000000,2025-01-10 10:21:27,3091.0,53.0,1621.0,175.0,2522.0,305.0,839.0,9647.0,2024-09-10 09:40:25,api/v2.2.0,87.0,168.0,168.0,261.0,,,3.0,2.0,quay.io/dexidp/dex,355.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
43,logto,https://github.com/logto-io/logto,idp,The better identity infrastructure for developers and the open-source alternative to Auth0.,,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-01-16 10:17:40.000000,2025-01-15 02:00:16,7098.0,181.0,450.0,51.0,6288.0,153.0,410.0,9253.0,2025-01-02 06:57:53,1.23.0,64.0,19.0,19.0,69.0,,,5584.0,2.0,svhd/logto,4869.0,https://hub.docker.com/r/svhd/logto,2025-01-15 02:04:16.952249,5.0,233811.0,,,,-1.0,,,,,,,,
44,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-12-23 11:50:04.000000,2024-12-23 11:50:04,2493.0,34.0,1027.0,105.0,867.0,38.0,848.0,5352.0,2024-12-09 07:54:33,5.8.1,69.0,9681.0,9681.0,328.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,
45,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],30,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-01-16 03:06:34.000000,2025-01-10 16:10:03,1591.0,52.0,341.0,57.0,1271.0,38.0,285.0,4905.0,,,52.0,35.0,35.0,74.0,,,624542.0,2.0,oryd/keto,26058.0,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,8.0,51183639.0,,,,,,,,,,,,
46,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],30,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-01-10 16:20:05.000000,2025-01-10 16:19:05,1419.0,34.0,347.0,47.0,752.0,58.0,293.0,3337.0,2024-12-13 14:46:10,0.40.8,100.0,3.0,3.0,112.0,,,1020632.0,3.0,oryd/oathkeeper,46913.0,https://hub.docker.com/r/oryd/oathkeeper,2024-12-13 14:46:01.813465,39.0,89767734.0,,,,,,,,,,,,
47,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,30,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2024-12-05 00:15:53.000000,2024-12-05 00:15:43,486.0,15.0,171.0,36.0,129.0,4.0,96.0,881.0,2024-12-05 00:18:36,2.4.0,29.0,1267.0,1267.0,29.0,,,258031.0,2.0,,,,,,,webauthn,https://pypi.org/project/webauthn,258031.0,,,,,,,,,
48,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3500.0,756.0,77.0,2.0,382.0,15270.0,2024-10-04 12:56:15,0.2.2,5.0,86.0,86.0,33.0,,,1449.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,162308.0,,,,,,,,,,,,
49,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,29,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-01-16 17:54:28.000000,2025-01-16 16:14:42,16209.0,552.0,985.0,60.0,9616.0,617.0,2094.0,14491.0,2025-01-09 17:34:00,ersion/2024.12.2,100.0,,,334.0,,,168.0,3.0,,5064.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,
50,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2025-01-16 15:05:58.000000,2025-01-16 15:05:55,3507.0,135.0,615.0,52.0,5908.0,581.0,1976.0,9456.0,2025-01-13 17:56:03,2.67.2,100.0,,,171.0,,,996.0,3.0,ghcr.io/zitadel/zitadel,5981.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,https://charts.zitadel.com,,,,,,,
51,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-01-14 03:49:20.000000,2025-01-14 03:49:20,2233.0,132.0,191.0,23.0,2300.0,186.0,742.0,2940.0,2024-12-21 07:46:30,1.4.5,33.0,42.0,42.0,95.0,,,6914.0,3.0,kanidm/server,337.0,https://hub.docker.com/r/kanidm/server,2025-01-11 03:25:13.234184,3.0,490559.0,,,,,,,,,,,,
52,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-01-15 13:58:35.000000,2025-01-15 13:58:35,6595.0,191.0,355.0,41.0,894.0,30.0,284.0,1511.0,2025-01-13 17:09:39,is-7.1.0,70.0,2460.0,2460.0,327.0,,,,2.0,,,,,,,,,,1.0,,,,,,DuendeSoftware/products,,
53,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-01-16 16:12:18.000000,2025-01-15 15:32:10,630.0,8.0,67.0,39.0,226.0,4.0,86.0,342.0,2025-01-15 15:32:39,8.0.6,100.0,5428.0,5428.0,41.0,https://www.npmjs.com/package/did-jwt,321572.0,321572.0,1.0,,,,,,,,,,2.0,,,,,,,,
54,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-01-15 23:08:59.000000,2025-01-15 19:28:09,6828.0,102.0,595.0,139.0,4833.0,200.0,2887.0,5275.0,2025-01-14 21:21:10,release-2025-01-13,100.0,,,136.0,,,18029.0,2.0,letsencrypt/boulder-tools,35608.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-09-05 15:49:11.555826,13.0,1994242.0,,,,,,,,,,,,
