,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,maven_id,maven_url,updated_github_id,helm_id,brew_id,gem_url,apt_id,github,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-11-27 17:46:04.000000,2025-11-27 17:46:04,4483.0,182.0,2285.0,226.0,5063.0,238.0,2221.0,13751.0,2025-10-08 20:47:23,1.13.1,76.0,14254.0,14254.0,457.0,,,2881400.0,1.0,,coredns/coredns,9414002.0,https://hub.docker.com/r/coredns/coredns,2025-10-08 20:48:53.393158,164.0,324315087.0,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-11-26 02:49:31.000000,2025-11-25 12:25:38,10208.0,369.0,2211.0,145.0,4322.0,154.0,3497.0,13348.0,2025-10-15 15:33:31,1.19.1,100.0,2244.0,2244.0,528.0,,,2390141.0,1.0,5.0,,95605674.0,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-11-27 12:20:14.925206,2025-11-27 09:41:37,6018.0,166.0,1461.0,131.0,5208.0,372.0,2469.0,10944.0,2025-11-26 13:24:07,1.11.0,100.0,6131.0,6131.0,548.0,,,5400754.0,1.0,,openpolicyagent/opa,18585028.0,https://hub.docker.com/r/openpolicyagent/opa,2025-11-27 12:20:14.925206,46.0,607584799.0,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,40,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-11-05 04:20:08.000000,2025-11-05 04:20:07,1781.0,2.0,488.0,62.0,518.0,84.0,305.0,2949.0,2025-06-20 05:53:03,3.3.1,50.0,640341.0,640341.0,201.0,,,208213321.0,1.0,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,208213321.0,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-11-23 14:17:49.000000,2025-11-23 14:15:18,2076.0,15.0,2846.0,174.0,308.0,9.0,1202.0,21160.0,2025-11-23 14:17:49,0.0.96,16.0,8432.0,8432.0,96.0,,,366773.0,1.0,,,,,,,,deepface,https://pypi.org/project/deepface,366773.0,,,,,,,,,
17,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-11-21 07:09:42.000000,2025-11-14 17:33:10,1140.0,13.0,1693.0,234.0,582.0,17.0,859.0,19454.0,2025-11-14 17:34:46,2.134.0,100.0,3542.0,3542.0,159.0,https://www.npmjs.com/package/casbin,348252.0,1230725.0,1.0,,,,,,,,casbin,https://pypi.org/project/casbin,882473.0,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,,
18,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-11-26 16:13:11.000000,2025-11-24 19:15:15,10565.0,16.0,1579.0,132.0,1418.0,128.0,1048.0,10848.0,2025-04-07 17:05:07,1.0.3,14.0,3939.0,3939.0,269.0,,,1075967.0,1.0,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,1075967.0,,,,,,,,,
19,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,38,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-11-27 11:50:06.000000,2025-11-27 11:50:06,1631.0,33.0,505.0,57.0,283.0,117.0,409.0,5116.0,2025-10-14 06:27:46,1.6.5,46.0,46841.0,46841.0,136.0,,,48979126.0,1.0,6.0,,,,,,,authlib,https://pypi.org/project/authlib,48979126.0,,,authlib/authlib,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-11-26 23:07:02.000000,2025-11-26 21:02:58,22258.0,572.0,4367.0,780.0,25031.0,1175.0,5273.0,33526.0,2025-11-19 17:36:49,1.21.1,100.0,15201.0,15201.0,1612.0,,,,1.0,,,,,,,,,,,,,,,,,,,
21,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2025-11-27 15:07:10.000000,2025-11-27 15:07:10,29670.0,705.0,7687.0,391.0,21982.0,2139.0,14270.0,31284.0,2025-11-25 17:32:43,26.4.6,95.0,,,1699.0,,,18426.0,1.0,,quay.io/keycloak/keycloak,1087168.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,False,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1230.0,293.0,162.0,354.0,430.0,23462.0,,,,1315841.0,1315841.0,38.0,https://www.npmjs.com/package/passport,19301204.0,19301204.0,2.0,,,,,,,,,,,,,,,,,,,
23,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-11-27 18:03:54.000000,2025-11-27 18:03:53,4323.0,155.0,1488.0,234.0,1924.0,88.0,1485.0,16789.0,2025-11-07 14:57:03,25.4.0,100.0,,,316.0,,,3404597.0,2.0,,oryd/hydra,471913.0,https://hub.docker.com/r/oryd/hydra,2025-11-07 14:56:52.769480,79.0,428318615.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
24,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-11-27 18:03:51.000000,2025-11-27 18:03:49,4927.0,151.0,1048.0,111.0,2238.0,152.0,1265.0,13053.0,2025-11-07 15:48:50,25.4.0,48.0,52.0,52.0,240.0,,,1277844.0,1.0,,oryd/kratos,51754.0,https://hub.docker.com/r/oryd/kratos,2025-11-07 15:48:38.908032,22.0,114939466.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
25,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,36,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-11-27 02:45:51.000000,2025-08-12 14:47:33,1669.0,,291.0,38.0,482.0,22.0,483.0,6667.0,2025-08-07 05:11:22,@casl/prisma@1.5.2,100.0,101556.0,101556.0,73.0,https://www.npmjs.com/package/@casl/ability,3482179.0,3482179.0,2.0,,,,,,,,,,,,,,,,,,,
26,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13465.0,1555.0,249.0,778.0,598.0,55839.0,2018-04-02 17:18:43,1.2.2,2.0,5567.0,5567.0,54.0,,,215972.0,2.0,,animcogn/face_recognition,1437.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,10119.0,face_recognition,https://pypi.org/project/face_recognition,215862.0,,,,,,,,,
27,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-11-27 13:05:44.599519,2025-11-27 12:49:49,3084.0,185.0,1465.0,78.0,2256.0,86.0,1913.0,12667.0,2025-11-27 12:58:40,2.168.0,100.0,12.0,12.0,261.0,,,13850.0,2.0,,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2025-11-27 13:05:44.599519,22.0,844893.0,,,,,,,,,,,,
28,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-10-20 19:56:12.000000,2025-09-28 02:58:15,4895.0,7.0,1935.0,185.0,1908.0,258.0,1756.0,12390.0,2025-03-05 07:11:35,r1.5.0,17.0,165.0,165.0,159.0,,,969732.0,2.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,969732.0,,,,,,,,,
29,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-11-27 16:13:30.000000,2025-11-27 16:10:36,30670.0,1207.0,3926.0,586.0,6709.0,,,11366.0,2025-11-09 16:48:27,7.3.1,100.0,21.0,21.0,370.0,,,8040.0,2.0,,apereo/cas,1589.0,https://hub.docker.com/r/apereo/cas,2025-11-27 06:01:40.156363,131.0,1361180.0,,,,,,,,,,,,
30,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-11-26 20:04:23.000000,2025-11-26 20:02:36,7462.0,124.0,537.0,74.0,4812.0,110.0,1533.0,2134.0,2025-10-23 13:05:05,1.13.3,100.0,201.0,201.0,237.0,,,13596.0,2.0,,ghcr.io/spiffe/spire-server,829392.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
31,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,34,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-10-07 20:35:20.000000,2025-10-07 20:35:19,3632.0,20.0,417.0,27.0,555.0,92.0,362.0,598.0,2025-10-07 20:02:21,7.5.4,55.0,2129.0,2129.0,181.0,,,1944237.0,2.0,5.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1944237.0,,,,,,,,,
32,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-11-25 04:00:35.000000,2025-11-25 04:00:35,2386.0,15.0,5762.0,507.0,199.0,1203.0,1394.0,27152.0,2023-04-02 07:43:27,0.7,1.0,4824.0,4824.0,67.0,,,352755.0,2.0,,animcogn/insightface,10935356.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,211.0,,,,,,,,,,,,
33,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-11-27 14:36:23.000000,2025-11-27 08:56:25,8517.0,530.0,1291.0,158.0,8545.0,58.0,1337.0,25949.0,2025-11-09 07:18:40,4.39.14,100.0,,,261.0,,,870.0,2.0,,,52206.0,,,,,,,,,,,,,,,,
34,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-11-27 14:08:03.000000,2025-11-26 21:26:26,5288.0,242.0,348.0,48.0,2108.0,99.0,446.0,6240.0,2025-11-21 00:35:17,1.47.1,100.0,136.0,136.0,72.0,,,120243.0,2.0,,authzed/spicedb,179279.0,https://hub.docker.com/r/authzed/spicedb,2025-11-21 00:43:55.729586,7.0,5919781.0,,,,,,,,,,,,
35,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-11-27 00:15:02.272307,2025-11-26 22:52:18,4020.0,116.0,315.0,42.0,4815.0,81.0,988.0,4545.0,2025-10-24 16:32:30,0.30.7,100.0,22.0,22.0,100.0,,,19672039.0,2.0,,pomerium/pomerium,56002.0,https://hub.docker.com/r/pomerium/pomerium,2025-11-27 00:15:02.272307,13.0,1613035520.0,,,,,,,,,,,,
36,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-11-27 18:03:54.000000,2025-11-27 18:03:52,1796.0,99.0,371.0,53.0,1372.0,34.0,294.0,5207.0,2025-11-07 14:48:11,25.4.0,54.0,39.0,39.0,82.0,,,558449.0,2.0,,oryd/keto,37860.0,https://hub.docker.com/r/oryd/keto,2025-11-07 14:47:59.149121,10.0,51335964.0,,,,,,,,,,,,
37,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-11-27 06:14:53.000000,2025-11-27 06:14:45,2728.0,18.0,765.0,66.0,269.0,,,3606.0,2025-10-24 08:28:38,9.5.2,100.0,1923.0,1923.0,76.0,https://www.npmjs.com/package/oidc-provider,740021.0,740021.0,2.0,5.0,,,,,,,,,,,,,,,,,,
38,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-11-27 18:04:27.000000,2025-11-27 18:04:25,1588.0,96.0,375.0,47.0,764.0,62.0,301.0,3525.0,2025-11-07 14:57:21,25.4.0,100.0,15.0,15.0,120.0,,,923038.0,2.0,,oryd/oathkeeper,23458.0,https://hub.docker.com/r/oryd/oathkeeper,2025-11-07 14:57:11.257698,43.0,90433840.0,,,,,,,,,,,,
39,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-11-25 23:45:46.000000,2025-11-25 23:45:46,17454.0,439.0,925.0,108.0,8961.0,1404.0,15834.0,864.0,2025-10-24 04:51:27,7.2.0,100.0,,,729.0,,,14705.0,2.0,,wso2/wso2is,20056.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,1990548.0,,,,,,,,,,,,
40,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,31,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-09-08 10:58:26.000000,2025-06-26 01:05:47,166.0,,11274.0,686.0,338.0,,,91316.0,2025-06-26 01:06:09,20250625,13.0,21.0,21.0,79.0,,,979833.0,3.0,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,979833.0,,,,,,,,,
41,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-11-27 18:23:58.000000,2025-11-27 18:23:56,19774.0,1164.0,1369.0,68.0,14182.0,778.0,2886.0,18999.0,2025-11-19 15:08:41,ersion/2025.10.2,100.0,,,455.0,,,170.0,2.0,,,4766.0,,,,,,,,,,,https://charts.goauthentik.io,,,,,
42,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-11-27 13:44:46.000000,2025-11-27 13:38:14,7937.0,203.0,633.0,49.0,7130.0,176.0,557.0,11100.0,2025-10-31 06:54:33,1.33.0,76.0,30.0,30.0,80.0,,,6271.0,2.0,,svhd/logto,6776.0,https://hub.docker.com/r/svhd/logto,2025-11-27 13:43:31.384761,5.0,324057.0,,,,,,,,,,,,
43,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-11-26 23:24:21.000000,2025-11-20 20:44:41,4932.0,188.0,297.0,194.0,5882.0,107.0,281.0,3987.0,2025-11-03 18:46:15,0.20.1,72.0,12.0,12.0,197.0,,,306135.0,3.0,,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2025-11-03 18:53:47.754438,18.0,21429493.0,,,,,,,,,,,,
44,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-11-21 04:04:29.000000,2025-11-03 12:52:37,3550.0,92.0,1753.0,170.0,2934.0,332.0,858.0,10400.0,2025-09-01 13:23:20,2.44.0,92.0,177.0,177.0,280.0,,,2.0,2.0,,quay.io/dexidp/dex,358.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
45,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-11-27 14:10:09.000000,2025-11-27 14:09:58,2969.0,22.0,132.0,58.0,330.0,36.0,319.0,1022.0,2025-09-03 07:38:43,5.8.0,45.0,200.0,200.0,48.0,,,66393.0,2.0,,,33251.0,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,66097.0,,,,,,,,,
46,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-11-24 18:42:26.000000,2025-11-24 00:58:21,675.0,14.0,70.0,36.0,232.0,6.0,86.0,365.0,2025-08-25 22:29:37,8.0.18,100.0,6047.0,6047.0,42.0,https://www.npmjs.com/package/did-jwt,352593.0,352593.0,1.0,,,,,,,,,,,,,,,,,,,
47,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,29,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-11-27 18:17:38.000000,2025-11-27 16:55:40,4094.0,185.0,861.0,54.0,6890.0,827.0,2426.0,12266.0,2025-11-14 09:45:13,4.7.0,100.0,1.0,1.0,229.0,,,1567.0,3.0,-1.0,ghcr.io/zitadel/zitadel,12541.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,https://charts.zitadel.com,,,,,
48,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-11-27 04:37:59.000000,2025-11-22 03:07:07,7188.0,80.0,616.0,132.0,5229.0,170.0,3075.0,5594.0,2025-11-18 17:41:33,0.20251118.0,100.0,,,143.0,,,17326.0,2.0,,letsencrypt/boulder-tools,37664.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-10-07 19:11:39.538310,13.0,2034881.0,,,,,,,,,,,,
49,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,29,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-11-03 18:17:20.000000,2025-11-02 00:53:16,9720.0,3.0,561.0,52.0,7291.0,,1780.0,4576.0,2025-06-30 22:09:21,ockam_v0.157.0,100.0,189.0,189.0,317.0,,,353.0,3.0,,,14838.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,
50,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-11-27 06:11:43.000000,2025-11-27 06:11:43,2557.0,81.0,274.0,20.0,2670.0,230.0,899.0,4277.0,2025-11-19 04:13:45,1.8.1,47.0,42.0,42.0,136.0,,,8381.0,3.0,,kanidm/server,420.0,https://hub.docker.com/r/kanidm/server,2025-11-20 01:39:52.794294,4.0,678499.0,,,,,,,,,,,,
51,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-11-27 16:26:50.000000,2025-11-27 16:26:50,2218.0,124.0,168.0,31.0,2365.0,48.0,355.0,4146.0,2025-10-28 08:42:42,0.47.0,71.0,33.0,33.0,33.0,,,1187.0,3.0,,ghcr.io/cerbos/cerbos,66497.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
52,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-11-27 10:20:46.000000,2025-11-26 10:19:46,7886.0,286.0,387.0,37.0,1432.0,4.0,320.0,1580.0,2025-09-17 16:58:52,is-7.3.2,100.0,2991.0,2991.0,338.0,,,,2.0,,,,,,,,,,,,,DuendeSoftware/products,,,,,,
53,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-11-24 15:44:49.000000,2025-11-23 15:10:40,1851.0,14.0,13287.0,1531.0,528.0,38.0,850.0,54749.0,2023-06-18 18:08:19,2.2.0,4.0,,,98.0,,,568.0,3.0,,,46079.0,,,,,,,,,,,,,,,,
