,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,new_addition,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,trending
0,aries,hyperledger/aries,aries,True,decentralized,https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:20,2023-04-22 22:02:49.000000,2023-04-22 22:02:49,24388.0,1093.0,251.0,6165.0,1497.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",504.0,34,True,512.0,860.0,2723.0,195.0,2023-04-14 09:52:15,330.0,550.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-04-20 21:21:57.000000,2023-04-20 20:53:58,1496.0,27.0,11.0,1584.0,48.0,Trinsic SDK repository.,41.0,27,False,102.0,5.0,368.0,32.0,2023-03-03 19:22:08,414.0,1722.0,1.0,1.10.0,7397.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-04-21 18:42:59.000000,2023-04-21 18:42:53,3188.0,29.0,22.0,351.0,126.0,Self Sovereign Identity SDK extending Veramo.,46.0,24,True,771.0,15.0,23.0,54.0,2023-03-17 00:39:19,90.0,4.0,2.0,0.9.0,,5.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-04-21 16:14:18.781427,2023-04-21 16:05:33,2648.0,58.0,12.0,316.0,124.0,Use web3 identity / self-sovereign identity (SSI).,55.0,23,True,514.0,21.0,252.0,89.0,2023-04-21 16:14:20,,474.0,2.0,1.2304211606.0,30.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-04-21 16:14:18.781427,4949.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-04-20 15:15:16.000000,2023-04-20 15:15:14,1003.0,407.0,625.0,207.0,8579.0,Solid - Re-decentralizing the web (project directory).,41.0,22,True,49.0,311.0,206.0,1.0,2021-12-21 13:00:06,,,1.0,,,,,,,,['solid'],True,,,,,,,,,,,,,
5,talao-altme,talaodao/altme,talao-altme,True,decentralized,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-04-21 16:22:03.000000,2023-04-21 16:21:58,6846.0,10.0,7.0,473.0,26.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,19,False,893.0,90.0,1352.0,1.0,2023-01-06 16:00:40,,,2.0,,,,,,,,,,,,,,,,,,,,,,
6,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,90.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,3.0,,100.0,2021-03-22 11:09:10,38.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,
7,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,https://github.com/0xPolygonID/sh-id-platform,https://github.com/0xPolygonID/sh-id-platform,,2022-11-08 12:11:09,2023-04-22 10:27:42.000000,2023-04-21 07:28:50,631.0,19.0,13.0,318.0,52.0,Self Hosted ID Platform.,18.0,15,False,330.0,5.0,73.0,6.0,2023-04-07 12:33:13,5.0,,3.0,1.0.0,,,,,,,,,,,,,,,,,,,,,
8,spruceid,spruceid/ddkit,spruceid,True,decentralized,,{},,2020-07-23 21:18:28,2023-04-23 00:19:16.000000,2023-04-22 12:48:36,712.0,51.0,45.0,407.0,172.0,,31.0,14,False,6.0,78.0,124.0,,,98.0,,3.0,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
9,coredns,coredns/coredns,,,machine,https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-04-23 16:20:51.000000,2023-04-22 20:32:01,3612.0,1787.0,236.0,3822.0,10710.0,CoreDNS is a DNS server that chains plugins.,349.0,41,True,77.0,63.0,2035.0,65.0,2023-02-06 18:30:04,5071.0,2806325.0,1.0,1.10.1,6669336.0,5071.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,231361891.0,"['linux-foundation', 'cncf']",,137.0,,,,,,,,,,,,
10,nextauthjs,nextauthjs/next-auth,,,authentication,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-04-23 11:03:33.000000,2023-04-23 07:14:52,2240.0,1902.0,90.0,1759.0,16016.0,Authentication for the Web.,521.0,40,True,169.0,114.0,2806.0,100.0,2023-04-20 08:41:48,74689.0,1782562.0,1.0,@next-auth/mongodb-adapter@1.1.3,,74689.0,,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,1782562.0,,,,,,,,,
11,oauthlib,oauthlib/oauthlib,,,authentication,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-04-14 08:21:48.000000,2023-01-10 13:20:21,1645.0,453.0,69.0,480.0,2576.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",191.0,40,True,,73.0,289.0,48.0,2023-01-10 13:13:43,356161.0,79770374.0,1.0,3.2.2,,356161.0,,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,79770374.0,,,,,,
12,cert-manager,cert-manager/cert-manager,,,pki,https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-04-23 11:05:59.000000,2023-04-20 16:53:04,7644.0,1798.0,144.0,2825.0,10231.0,Automatically provision and manage TLS certificates in Kubernetes.,388.0,39,True,200.0,173.0,2788.0,100.0,2023-04-07 13:54:32,444.0,1237937.0,1.0,1.11.1,44565738.0,444.0,,,,,['linux-foundation'],,,,,,,,,,,,,,
13,vault,hashicorp/vault,,,pki,https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,MPL-2.0,2015-02-25 00:15:59,2023-04-22 17:01:35.000000,2023-04-21 22:21:28,17163.0,3625.0,816.0,14756.0,27567.0,"A tool for secrets management, encryption as a service, and privileged access management.",1330.0,38,True,630.0,866.0,4582.0,87.0,2023-03-29 22:06:08,6165.0,,2.0,1.13.1,,6165.0,,,,,['hashicorp'],,,,,,,,,,,,,,
14,keycloak,keycloak/keycloak,,,idp,https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-04-22 15:56:54.000000,2023-04-21 13:06:51,21738.0,5168.0,357.0,11256.0,15769.0,Open Source Identity and Access Management For Modern Applications and Services.,1156.0,37,True,734.0,1597.0,4341.0,35.0,2023-04-19 08:10:05,,60272.0,1.0,21.1.0,1687640.0,,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,['cncf'],,,,,,,,,,,,,,
15,open-policy-agent,open-policy-agent/opa,,,authorization,https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-04-23 17:43:32.000000,2023-04-21 17:24:07,4551.0,1092.0,118.0,3608.0,7968.0,"An open source, general-purpose policy engine.",379.0,37,True,149.0,288.0,1934.0,100.0,2023-03-31 14:09:24,2354.0,3071315.0,1.0,0.51.0,2870814.0,2354.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-04-21 18:09:18.171576,265322229.0,"['cncf', 'linux-foundation']",,30.0,,,,,,,,,,,,
16,ory-hydra,ory/hydra,,,authentication,https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-04-21 16:12:24.000000,2023-04-18 11:21:17,3592.0,1277.0,231.0,1647.0,14038.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",279.0,36,True,66.0,56.0,1369.0,100.0,2023-04-11 10:52:32,2.0,4054215.0,2.0,2.1.1,539260.0,2.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-04-11 10:52:32.445066,384337356.0,['ory'],,72.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
17,ory-kratos,ory/kratos,,,idp,https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-04-21 18:22:40.000000,2023-04-21 16:24:01,3755.0,728.0,111.0,1553.0,8561.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",192.0,36,True,141.0,226.0,855.0,42.0,2023-04-18 17:07:18,314.0,1731282.0,1.0,0.13.0,28239.0,314.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-04-18 17:07:17.440071,102102979.0,['ory'],,16.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
18,casbin,casbin/casbin,,,authorization,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-04-15 13:22:26.000000,2023-04-15 13:21:02,1053.0,1467.0,228.0,446.0,14315.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang.",129.0,35,True,16.0,16.0,698.0,100.0,2023-04-15 13:22:27,2362.0,213448.0,2.0,2.68.0,,2362.0,,,,,,,,casbin,https://www.npmjs.com/package/casbin,149386.0,casbin,https://pypi.org/project/casbin,64062.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
19,casl,stalniy/casl,,,authorization,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-04-12 15:46:02.000000,2023-04-12 08:45:37,1442.0,242.0,40.0,306.0,4798.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,64.0,35,True,10.0,9.0,403.0,100.0,2023-04-02 13:30:48,41175.0,1662435.0,2.0,@casl/ability@6.4.0,,41175.0,,,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1662435.0,,,,,,,,,
20,pomerium,pomerium/pomerium,,,machine,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-04-22 00:28:07.209815,2023-04-21 23:25:11,2822.0,271.0,35.0,3223.0,3518.0,Pomerium is an identity and context-aware access proxy.,88.0,33,True,137.0,68.0,783.0,100.0,2023-03-23 15:57:03,12.0,3433638.0,2.0,0.21.3,41452.0,12.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-04-22 00:28:07.209815,175072477.0,,,10.0,,,,,,,,,,,,
21,ockam,build-trust/ockam,,,machine,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-04-23 13:49:34.000000,2023-04-23 13:26:18,5370.0,334.0,58.0,3525.0,3069.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",177.0,32,True,735.0,170.0,917.0,100.0,2023-04-14 21:09:02,175.0,10754.0,2.0,ockam_v0.84.0,182826.0,175.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
22,spire,spiffe/spire,,,machine,https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-04-23 14:26:27.000000,2023-04-21 18:48:01,5929.0,364.0,83.0,2899.0,1393.0,The SPIFFE Runtime Environment.,153.0,32,True,201.0,188.0,1014.0,79.0,2023-04-13 20:22:53,108.0,1825.0,2.0,1.6.3,120473.0,108.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,"['cncf', 'linux-foundation']",,,,,,,,,,,,,,
23,cas,apereo/cas,,,idp,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-04-20 19:54:16.678272,2023-04-18 16:04:25,22976.0,3770.0,608.0,4302.0,10206.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,335.0,31,True,423.0,,,100.0,2023-03-31 06:34:19,,5793.0,2.0,6.6.7,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-04-20 19:54:16.678272,805292.0,,,121.0,,,,,,,,,,,,
