,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,new_addition,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url
15,ory-kratos,ory/kratos,,,idp,https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-04-14 13:06:37.000000,2023-04-14 13:06:35,3741.0,724.0,109.0,1547.0,8415,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",191.0,36,True,136.0,222.0,854.0,41.0,2023-01-14 11:40:30,313.0,1710697.0,1,,0.11.1,27838.0,313.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-01-14 11:40:30.176200,100889085.0,['ory'],16.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,
16,casbin,casbin/casbin,,,authorization,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-04-14 11:33:05.000000,2023-04-14 11:31:27,1052.0,1461.0,228.0,446.0,14257,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang.",129.0,35,True,15.0,13.0,695.0,100.0,2023-04-14 11:33:06,2347.0,211497.0,2,,2.67.0,,2347.0,,,,,,,casbin,https://www.npmjs.com/package/casbin,143893.0,casbin,https://pypi.org/project/casbin,67604.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,
17,casl,stalniy/casl,,,authorization,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-04-12 15:46:02.000000,2023-04-12 08:45:37,1442.0,242.0,40.0,306.0,4780,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,64.0,35,True,10.0,9.0,403.0,100.0,2023-04-02 13:30:48,40424.0,1692853.0,2,,@casl/ability@6.4.0,,40424.0,,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1692853.0,,,,,,,,
18,pomerium,pomerium/pomerium,,,others,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-04-13 23:13:13.000000,2023-04-10 17:52:54,2809.0,269.0,35.0,3210.0,3506,Pomerium is an identity and context-aware access proxy.,88.0,32,True,140.0,67.0,783.0,100.0,2023-03-23 15:57:03,12.0,2948619.0,1,,0.21.3,41094.0,12.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-04-10 19:22:45.297207,150336874.0,,10.0,,,,,,,,,,,
19,ockam,build-trust/ockam,,,pki,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-04-14 13:56:25.000000,2023-04-14 11:35:45,5301.0,325.0,57.0,3479.0,3028,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",175.0,32,True,713.0,170.0,911.0,100.0,2023-03-28 05:16:07,175.0,10269.0,2,,ockam_v0.83.0,174587.0,175.0,,,,,,,,,,,,,,,,build-trust/ockam/ockam,
20,spire,spiffe/spire,,,others,https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-04-14 07:01:20.000000,2023-04-13 13:59:13,5906.0,363.0,83.0,2883.0,1382,The SPIFFE Runtime Environment.,152.0,32,True,202.0,197.0,1001.0,79.0,2023-04-13 20:22:53,108.0,1806.0,1,,1.6.3,119199.0,108.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,"['cncf', 'linux-foundation']",,,,,,,,,,,,
21,cas,apereo/cas,,,idp,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-04-14 11:30:29.586591,2023-04-14 06:04:07,22958.0,3765.0,607.0,4300.0,10194,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,335.0,31,True,439.0,,,100.0,2023-03-31 06:34:19,,5784.0,2,,6.6.7,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-04-14 11:30:29.586591,804032.0,,121.0,,,,,,,,,,,
22,node-oidc-provider,panva/node-oidc-provider,,,oauth2-oidc,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-04-10 22:41:03.000000,2023-04-06 10:08:19,2370.0,698.0,69.0,214.0,2623,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,60.0,31,True,31.0,,,100.0,2023-03-09 08:47:14,930.0,114668.0,2,,8.1.1,,930.0,,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,114668.0,,,,,,,,
23,doorkeeper,doorkeeper-gem/doorkeeper,,,oauth2-oidc,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-04-13 17:24:35.000000,2023-03-29 07:18:57,2352.0,994.0,108.0,807.0,5129,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,306.0,30,True,41.0,19.0,824.0,62.0,2023-03-29 07:20:04,7620.0,,3,,5.6.6,,7620.0,,,,,,,,,,,,,,,,,doorkeeper
24,spicedb,authzed/spicedb,,,authorization,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-04-13 20:48:24.000000,2023-04-13 15:51:01,2633.0,171.0,34.0,935.0,3378,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",26.0,30,True,250.0,97.0,223.0,26.0,2023-04-13 20:30:11,22.0,7992.0,2,,1.19.1,11498.0,22.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-04-13 20:25:40.446739,147749.0,,4.0,,,,,,,,,,,
25,authelia,authelia/authelia,,,idp,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-04-14 13:57:26.000000,2023-04-14 11:42:31,4141.0,893.0,155.0,3933.0,16095,The Single Sign-On Multi-Factor portal for web apps.,124.0,29,True,351.0,71.0,1024.0,100.0,2022-12-21 09:01:04,2.0,488.0,2,,4.37.5,19068.0,2.0,,,,,,,,,,,,,,,,,
26,dex,dexidp/dex,,,oauth2-oidc,https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-04-14 04:59:11.000000,2023-04-13 20:15:17,2386.0,1397.0,175.0,1682.0,8016,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,216.0,28,True,85.0,279.0,771.0,79.0,2023-03-20 13:29:42,15.0,2.0,3,,2.36.0,234.0,15.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,['linux-foundation'],,,,,,,,,,,,
27,boulder,letsencrypt/boulder,,,pki,https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-04-13 23:49:22.000000,2023-04-13 16:56:30,6133.0,524.0,138.0,4032.0,4613,"An ACME-based certificate authority, written in Go.",125.0,28,True,156.0,187.0,2582.0,61.0,2023-04-10 22:16:24,,23041.0,2,,release-2023-04-10,50904.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-04-04 20:11:35.737275,1912658.0,['linux-foundation'],12.0,,,,,,,,,,,
28,keto,ory/keto,,,authorization,https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-04-14 12:35:10.000000,2023-04-11 14:12:13,1391.0,286.0,59.0,954.0,3977,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",65.0,28,True,98.0,44.0,246.0,50.0,,2.0,704801.0,3,,,14281.0,2.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,42976485.0,['ory'],6.0,,,,,,,,,,,
29,oso,osohq/oso,,,authorization,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-04-03 23:36:19.000000,2023-04-03 22:56:35,1187.0,144.0,30.0,1497.0,2985,Oso is a batteries-included framework for building authorization in your application.,61.0,28,True,16.0,98.0,97.0,100.0,2023-04-03 23:25:23,69.0,46313.0,3,,0.27.0,2103.0,69.0,,,,,,,,,,oso,https://pypi.org/project/oso,46233.0,,,,,
30,identity-server,duendesoftware/identityserver,,,oauth2-oidc,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,,2020-10-01 08:46:31,2023-04-14 10:57:28.000000,2023-04-13 17:59:32,4693.0,213.0,39.0,562.0,986,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,290.0,28,False,290.0,54.0,197.0,39.0,2023-02-02 17:27:15,923.0,,3,,6.2.3,,923.0,,,,,,,,,,,,,,,,,
31,casdoor,casdoor/casdoor,,,idp,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-04-14 12:35:53.612241,2023-04-14 11:14:59,1504.0,676.0,47.0,964.0,5796,"An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting OAuth 2.0,..",112.0,27,True,186.0,106.0,624.0,100.0,2023-04-14 11:27:24,1.0,1461.0,2,,1.294.0,,1.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-04-14 12:35:53.612241,43838.0,,6.0,,,,,,,,,,,
32,logto,logto-io/logto,,,idp,https://github.com/logto-io/logto,https://github.com/logto-io/logto,https://www.mozilla.org/en-US/MPL/2.0/,2021-06-19 03:01:50,2023-04-14 10:58:33.000000,2023-04-14 09:48:49,4012.0,192.0,33.0,3447.0,5581,Logto is a cost-effective open-source alternative to Auth0. It offers a seamless developer experience and is well-..,33.0,27,True,824.0,56.0,169.0,36.0,2023-03-30 11:58:25,6.0,380.0,2,,1.1.0,1390.0,6.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-04-14 09:59:00.749410,5838.0,,1.0,,,,,,,,,,,
33,zitadel,zitadel/zitadel,,,idp,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-04-14 13:59:06.000000,2023-04-14 13:53:19,2089.0,170.0,21.0,4000.0,3150,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,51.0,27,True,193.0,330.0,1086.0,100.0,2023-04-14 07:30:52,1.0,309.0,2,,2.24.0,1858.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,
