,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,new_addition,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url
55,talao-wallet,talaodao/talao-wallet,talao-altme,,decentralized,https://github.com/TalaoDAO/talao-wallet,https://github.com/TalaoDAO/talao-wallet,Apache-2.0,2021-06-29 14:41:04,2023-03-20 12:52:28.000000,2023-03-20 08:12:52,3967.0,5.0,2.0,69.0,9,An open source SSI wallet prpposed as a white label solution - EBSI conformant.,14.0,15,False,458.0,19.0,243.0,1.0,2023-01-06 16:00:40,,,3,True,old_talao,,,,,,,,,,,,,,,,,,,
56,aries-framework-dotnet,hyperledger/aries-framework-dotnet,aries,,decentralized,https://github.com/hyperledger/aries-framework-dotnet,https://github.com/hyperledger/aries-framework-dotnet,Apache-2.0,2019-08-19 18:49:27,2023-04-03 11:38:44.000000,2023-04-03 11:38:44,142.0,66.0,27.0,170.0,78,Aries Framework .NET for building multiplatform SSI services.,29.0,14,False,1.0,40.0,28.0,,,38.0,,3,True,,,38.0,,,,,,,,,,,,,,,,,
57,siop-oid4vp,sphereon-opensource/siop-oid4vp,sphereon-ssi,,decentralized,https://github.com/Sphereon-Opensource/SIOP-OID4VP,https://github.com/Sphereon-Opensource/SIOP-OID4VP,Apache-2.0,2021-09-08 22:32:38,2023-04-13 20:24:31.000000,2023-04-13 20:24:25,543.0,14.0,6.0,40.0,59,Self Issued OpenID Provider v2 (SIOP) with optional OpenID for Verifiable Presentations (OpenID4VP).,9.0,14,False,54.0,7.0,5.0,10.0,,29.0,0.0,3,,,17.0,29.0,,,,,,,,,,,,,,,,,
58,verity-sdk,evernym/verity-sdk,evernym-ssi,,decentralized,https://github.com/evernym/verity-sdk,https://github.com/evernym/verity-sdk,Apache-2.0,2020-06-18 20:16:43,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,1451.0,39.0,12.0,115.0,44,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repo contains..,36.0,14,False,2.0,,,,,14.0,,3,,,,14.0,,,,,,,,,,,,,,,,,
59,waltid-web-wallet,walt-id/waltid-web-wallet,waltid-ssikit,,decentralized,https://github.com/walt-id/waltid-web-wallet,https://github.com/walt-id/waltid-web-wallet,Apache-2.0,2021-10-26 18:13:46,2023-04-11 16:51:19.766136,2023-04-10 16:31:01,334.0,10.0,1.0,68.0,13,web-wallet @ walt.id.,15.0,14,False,31.0,10.0,41.0,9.0,2023-01-23 16:08:26,,46.0,3,,0.6.0,,,waltid/ssikit-web-wallet,https://hub.docker.com/r/waltid/ssikit-web-wallet,2023-04-11 16:51:19.766136,839.0,,,,,,,,,,,,,
60,waltid-idpkit,walt-id/waltid-idpkit,waltid-ssikit,,decentralized,https://github.com/walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-04-13 12:34:27.595284,2023-04-13 12:29:04,233.0,2.0,2.0,15.0,12,OIDC identity provider for SSI & NFTs.,8.0,14,False,65.0,2.0,31.0,11.0,2023-04-13 12:38:53,,40.0,3,,1.2304131229.0,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2023-04-13 12:34:27.595284,532.0,,,,,,,,,,,,,
61,pex,sphereon-opensource/pex,sphereon-ssi,,decentralized,https://github.com/Sphereon-Opensource/PEX,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2023-04-13 14:46:39.000000,2023-02-17 20:49:03,822.0,7.0,6.0,95.0,20,A Typescript implementation of the DIF Presentation Exchange specification.,12.0,13,False,7.0,4.0,12.0,23.0,2023-02-17 20:56:06,39.0,2.0,3,,1.1.6,47.0,39.0,,,,,,,,,,,,,,,,,
62,mobile-sdk,evernym/mobile-sdk,evernym-ssi,,decentralized,https://github.com/evernym/mobile-sdk,https://github.com/evernym/mobile-sdk,Apache-2.0,2020-01-14 21:16:21,2023-03-29 23:11:17.000000,2023-03-29 23:11:14,598.0,5.0,62.0,81.0,15,Evernyms SDK for building mobile identity agents. This is a read-only mirror. Contributions are welcomed at..,25.0,13,False,4.0,,,100.0,2021-03-22 11:09:10,,5.0,3,,1.4.1,198.0,,,,,,,,,,,,,,,,,,
63,polygon-js-sdk,0xPolygonID/js-sdk,polygon-id,,decentralized,https://github.com/0xPolygonID/js-sdk,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-04-14 13:57:45.000000,2023-04-14 13:57:44,242.0,3.0,5.0,53.0,22,SDK to work with Polygon ID.,8.0,12,False,136.0,4.0,2.0,5.0,2023-04-07 12:33:13,4.0,,3,True,1.0.0-beta.5,,4.0,,,,,,,,,,,,,,,,,
64,react-native-white-label-app,evernym/react-native-white-label-app,evernym-ssi,,decentralized,https://github.com/evernym/react-native-white-label-app,https://github.com/evernym/react-native-white-label-app,Apache-2.0,2020-12-01 15:41:06,2023-03-29 23:06:53.000000,2023-03-29 23:06:51,786.0,7.0,13.0,1.0,9,The Evernym React Native White Label App uses the Mobile SDK to implement a basic mobile identity wallet ready for..,21.0,12,False,3.0,3.0,,,,24.0,,3,,,,24.0,,,,,,,,,,,,,,,,,
65,credible,spruceid/credible,spruceid,,decentralized,https://github.com/spruceid/credible,https://github.com/spruceid/credible,Apache-2.0,2020-07-23 21:18:28,2023-03-07 17:08:52.000000,2022-05-09 17:48:40,193.0,16.0,17.0,71.0,34,A reference credential wallet built on Flutter and DIDKit.,11.0,11,False,,10.0,24.0,,,,,3,True,,,,,,,,,,,,,,,,,,,,
66,waltid-storagekit,walt-id/waltid-storagekit,waltid-ssikit,,decentralized,https://github.com/walt-id/waltid-storagekit,https://github.com/walt-id/waltid-storagekit,Apache-2.0,2021-11-15 09:47:22,2023-02-06 15:36:34.000000,2023-02-06 15:36:10,37.0,2.0,3.0,4.0,6,Enhance your app with zero trust storage and privacy-preserving data sharing.,5.0,9,False,9.0,1.0,6.0,1.0,2023-02-06 15:38:55,,,3,,1.2302061536.0,,,,,,,,,,,,,,,,,,,
67,ssi-mobile-wallet,sphereon-opensource/ssi-mobile-wallet,sphereon-ssi,,decentralized,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,GPL-3.0,2022-11-08 00:55:26,2023-04-14 10:18:15.000000,2023-04-14 10:18:08,434.0,,3.0,62.0,10,Open-Source Mobile SSI Wallet.,6.0,8,False,304.0,3.0,2.0,,,,,3,,,,,,,,,,,,,,,,,,,,,
68,connectme,evernym/connectme,evernym-ssi,,decentralized,https://github.com/evernym/ConnectMe,https://github.com/evernym/ConnectMe,Apache-2.0,2021-06-22 22:25:37,2023-03-29 20:57:35.000000,2023-03-29 20:57:32,817.0,2.0,4.0,,1,Evernyms Connect.Me is an industry leading mobile identity wallet that makes it easy for people to manage their..,16.0,6,False,2.0,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
69,cfssl,cloudfare/cfssl,,,pki,,{},,,2023-04-10 18:33:14.312711,,,,,,23,CloudFlares PKI toolkit.,,2,False,,,,,,,,3,,,,,cfssl/cfssl,https://hub.docker.com/r/cfssl/cfssl,2023-04-10 18:33:14.312711,3933335.0,,23.0,,,,,,,,,,,
