,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
10,keycloak,keycloak/keycloak,,,idp,['cncf'],https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-06-22 17:55:49.000000,2023-06-22 15:41:31,22203.0,5317.0,363.0,11752.0,16547.0,Open Source Identity and Access Management For Modern Applications and Services.,1188.0,41,True,643.0,36.0,1630.0,4868.0,2023-04-26 10:24:38,322.0,61121.0,1.0,21.1.1,1833639.0,322.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,,
11,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-06-20 05:31:09.000000,2023-06-19 12:42:17,3675.0,1824.0,236.0,3903.0,10915.0,CoreDNS is a DNS server that chains plugins.,359.0,41,True,77.0,65.0,86.0,2058.0,2023-02-06 18:30:04,5148.0,2817281.0,1.0,1.10.1,6714382.0,5148.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,237891765.0,,,,,,138.0,,,,,,,,,
12,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-06-22 18:03:15.000000,2023-06-22 14:23:05,4650.0,1120.0,120.0,3729.0,8166.0,"An open source, general-purpose policy engine.",399.0,40,True,131.0,100.0,308.0,1981.0,2023-06-06 07:27:14,2555.0,4329681.0,1.0,0.53.1,3269522.0,2555.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-06-22 15:16:06.020922,383901597.0,,,,,,32.0,,,,,,,,,
13,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-06-22 11:23:26.000000,2023-06-22 07:50:18,7854.0,1823.0,146.0,2950.0,10471.0,Automatically provision and manage TLS certificates in Kubernetes.,400.0,39,True,291.0,100.0,181.0,2844.0,2023-06-20 11:39:00,509.0,1350944.0,1.0,1.11.4,47283052.0,509.0,,,,,,,,,,,,,,,,,,,
14,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-06-13 03:01:15.000000,2023-06-13 03:01:14,1646.0,455.0,68.0,481.0,2600.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",192.0,39,True,1.0,48.0,75.0,289.0,2023-01-10 13:13:43,389360.0,80337765.0,1.0,3.2.2,,389360.0,,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,80337765.0,,,,,,
15,vault,hashicorp/vault,,,pki,['hashicorp'],https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,MPL-2.0,2015-02-25 00:15:59,2023-06-22 18:05:46.000000,2023-06-22 18:05:26,17570.0,3686.0,819.0,15773.0,27908.0,"A tool for secrets management, encryption as a service, and privileged access management.",1349.0,38,True,627.0,98.0,877.0,4650.0,2023-06-20 22:56:17,6258.0,,2.0,1.14.0,,6258.0,,,,,,,,,,,,,,,,,,,
16,passport,jaredhanson/passport,,,authentication,,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-06-15 06:35:28.000000,2023-03-10 17:27:55,617.0,1164.0,316.0,152.0,21566.0,"Simple, unobtrusive authentication for Node.js.",38.0,37,True,,,327.0,419.0,,863107.0,8647783.0,2.0,,,863107.0,,,,,,,passport,https://www.npmjs.com/package/passport,8647783.0,,,,,,,,,,
17,ory-hydra,ory/hydra,,,authentication,['ory'],https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-06-22 16:42:38.000000,2023-06-22 16:42:37,3640.0,1290.0,228.0,1675.0,14216.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",286.0,36,True,79.0,100.0,61.0,1376.0,2023-05-24 08:55:23,2.0,4137074.0,2.0,2.1.2,575800.0,2.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-06-22 12:03:24.362033,400409726.0,,,,,,74.0,,,,https://k8s.ory.sh/helm/charts,,,,,
18,ory-kratos,ory/kratos,,,idp,['ory'],https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-06-22 16:26:47.000000,2023-06-22 13:48:08,3812.0,755.0,111.0,1599.0,8879.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",201.0,36,True,104.0,42.0,225.0,887.0,2023-04-18 17:07:18,322.0,1806401.0,1.0,0.13.0,30500.0,322.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-04-18 17:07:17.440071,110145161.0,,,,,,16.0,,,,https://k8s.ory.sh/helm/charts,,,,,
19,casl,stalniy/casl,,,authorization,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-06-20 18:34:04.000000,2023-06-20 18:30:40,1477.0,244.0,40.0,317.0,4923.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,66.0,36,True,45.0,100.0,5.0,413.0,2023-05-05 18:06:03,46480.0,1739282.0,2.0,@casl/mongoose@7.1.3,,46480.0,,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1739282.0,,,,,,,,,,
20,casbin,casbin/casbin,,,authorization,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-06-20 16:04:02.000000,2023-06-17 14:31:53,1060.0,1494.0,232.0,458.0,15112.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang.",132.0,35,True,13.0,100.0,18.0,708.0,2023-06-17 14:33:13,2451.0,225785.0,2.0,2.71.1,,2451.0,,,,,,,casbin,https://www.npmjs.com/package/casbin,156051.0,,casbin,https://pypi.org/project/casbin,69734.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
21,speechbrain,speechbrain/speechbrain,,,voice,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-06-22 18:11:48.000000,2023-06-22 10:17:24,8212.0,1081.0,125.0,915.0,6165.0,A PyTorch-based Speech Toolkit.,206.0,35,True,165.0,8.0,111.0,795.0,2023-03-24 17:40:58,787.0,116712.0,1.0,0.5.14,,787.0,,,,,-1.0,,,,,,speechbrain,https://pypi.org/project/speechbrain,116712.0,,,,,,
22,insightface,deepinsight/insightface,,,face,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,MIT,2017-09-01 00:36:51,2023-06-10 16:42:09.000000,2023-06-10 16:42:09,2251.0,4386.0,479.0,141.0,16174.0,State-of-the-art 2D and 3D Face Analysis Project.,54.0,34,True,58.0,1.0,889.0,1315.0,2023-04-02 07:43:27,415.0,41541.0,1.0,0.7,83080.0,415.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,137.0,,,,,,,,,,,,,,,
23,paddlespeech,PaddlePaddle/PaddleSpeech,,,voice,,https://github.com/PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-06-13 10:31:10.000000,2023-06-13 10:31:10,4711.0,1519.0,181.0,1663.0,7812.0,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",124.0,34,True,114.0,15.0,221.0,1283.0,2023-04-14 09:36:52,60.0,130617.0,3.0,r1.4.1,,60.0,,,,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,130617.0,,,,,,
24,face-api-js,justadudewhohacks/face-api.js,,,face,,https://github.com/justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-01-05 16:14:12.000000,2020-04-22 16:40:10,488.0,3431.0,335.0,106.0,15165.0,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,25.0,33,False,,38.0,410.0,387.0,2020-03-22 14:01:55,6688.0,113450.0,2.0,0.22.2,,6688.0,,,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,113450.0,,,,,,,,,,
25,pomerium,pomerium/pomerium,,,machine,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-06-21 14:34:52.000000,2023-06-20 15:58:15,2946.0,273.0,34.0,3390.0,3583.0,Pomerium is an identity and context-aware access proxy.,89.0,33,True,157.0,100.0,76.0,798.0,2023-05-26 21:06:13,12.0,7721001.0,2.0,0.21.4,43684.0,12.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-06-20 17:48:38.021461,409160504.0,,,,,,10.0,,,,,,,,,
26,ockam,build-trust/ockam,,,machine,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-06-22 17:34:28.000000,2023-06-22 17:13:22,5912.0,360.0,58.0,3849.0,3296.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",195.0,32,True,832.0,100.0,186.0,975.0,2023-06-09 21:39:24,179.0,12021.0,2.0,ockam_v0.89.0,228401.0,179.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
27,cas,apereo/cas,,,idp,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-06-22 17:35:23.000000,2023-06-22 17:16:59,23285.0,3779.0,606.0,4347.0,10325.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,337.0,31,True,394.0,100.0,,,2023-05-26 05:00:15,,5772.0,2.0,6.6.8,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-06-21 01:30:16.014701,813948.0,,,,,,125.0,,,,,,,,,
28,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,MPL-2.0,2020-01-08 18:24:07,2023-06-22 17:53:44.000000,2023-06-22 14:31:21,3214.0,226.0,76.0,3050.0,3632.0,Boundary enables identity-based access management for dynamic infrastructure.,131.0,31,True,388.0,44.0,67.0,229.0,2023-06-12 23:09:58,8.0,180368.0,2.0,0.13.0,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-06-12 23:15:35.268469,7395088.0,,,,,,10.0,,,,,,,,,
29,spicedb,authzed/spicedb,,,authorization,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-06-22 17:09:10.000000,2023-06-22 17:02:09,2918.0,185.0,33.0,1044.0,3587.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",28.0,31,True,338.0,39.0,96.0,255.0,2023-06-21 19:49:33,23.0,21124.0,2.0,1.22.2,16344.0,23.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-06-21 19:46:54.665799,447613.0,,,,,,4.0,,,,,,,,,
30,node-oidc-provider,panva/node-oidc-provider,,,authentication,,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-06-22 07:15:48.000000,2023-06-22 07:15:48,2396.0,709.0,71.0,217.0,2707.0,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,63.0,31,True,30.0,100.0,,,2023-05-30 16:30:27,1005.0,127709.0,2.0,8.2.2,,1005.0,,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,127709.0,,,,,,,,,,
31,spire,spiffe/spire,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-06-22 17:03:04.000000,2023-06-21 14:06:51,6035.0,373.0,83.0,3042.0,1430.0,The SPIFFE Runtime Environment.,156.0,31,True,155.0,81.0,167.0,1070.0,2023-06-14 21:09:11,114.0,1931.0,2.0,1.7.0,131319.0,114.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,,
32,ageitgey-face-recognition,ageitgey/face_recognition,,,face,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-05-23 09:52:12.000000,2022-06-10 09:12:18,238.0,12666.0,1575.0,217.0,48627.0,The worlds simplest facial recognition api for Python and the command line.,54.0,30,True,,2.0,699.0,581.0,2018-04-02 17:18:43,,68253.0,2.0,1.2.2,1104.0,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,6524.0,,,,,,15.0,face_recognition,https://pypi.org/project/face_recognition,68153.0,,,,,,
33,dex,dexidp/dex,,,authentication,['linux-foundation'],https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-06-22 05:00:18.000000,2023-06-16 23:27:13,2515.0,1423.0,177.0,1779.0,8201.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,218.0,30,True,139.0,79.0,284.0,775.0,2023-03-20 13:29:42,15.0,3.0,3.0,2.36.0,280.0,15.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,,
34,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-06-22 07:30:13.000000,2023-06-22 07:30:12,2361.0,1000.0,107.0,812.0,5159.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,309.0,30,True,12.0,62.0,20.0,825.0,2023-03-29 07:20:04,7869.0,,3.0,5.6.6,,7869.0,,,,,,,,,,,,,,,,,,doorkeeper,
35,faceswap,deepfakes/faceswap,,,face,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-06-21 21:52:15.000000,2023-06-21 21:51:59,1737.0,12281.0,1520.0,506.0,46008.0,Deepfakes Software For All.,97.0,29,True,15.0,4.0,21.0,786.0,2023-06-18 18:08:19,,260.0,2.0,2.2.0,13520.0,,,,,,1.0,,,,,,,,,,,,,,
36,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-06-16 11:28:24.000000,2023-06-16 11:28:24,1019.0,1357.0,104.0,76.0,6667.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",41.0,29,True,25.0,,10.0,699.0,,1565.0,50208.0,2.0,,,1565.0,,,,,,,,,,,deepface,https://pypi.org/project/deepface,50208.0,,,,,,
37,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-06-21 14:58:51.000000,2023-06-19 07:20:59,1320.0,307.0,48.0,701.0,2989.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",108.0,29,True,27.0,100.0,47.0,268.0,2023-04-26 17:01:50,2.0,1212586.0,3.0,0.40.3,24818.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-04-26 17:01:50.032478,83643324.0,,,,,,27.0,,,,,,,,,
38,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-06-22 16:59:20.000000,2023-06-21 15:10:38,4837.0,232.0,39.0,631.0,1061.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,290.0,29,True,225.0,42.0,57.0,213.0,2023-05-31 23:38:47,1111.0,,3.0,6.3.2,,1111.0,,,,,,,,,,,,,,,,,,,
39,did-jwt,decentralized-identity/did-jwt,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-06-19 01:35:14.000000,2023-06-07 20:39:33,575.0,62.0,39.0,201.0,295.0,Create and verify DID verifiable JWTs in Javascript.,40.0,29,True,14.0,97.0,8.0,74.0,2023-06-07 20:40:20,3470.0,94182.0,1.0,7.2.2,,3470.0,,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,94182.0,,,,,,,,,,
40,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-06-22 16:05:52.000000,2023-06-22 13:17:19,4428.0,902.0,156.0,4230.0,16676.0,The Single Sign-On Multi-Factor portal for web apps.,126.0,28,True,372.0,100.0,68.0,1039.0,2022-12-21 09:01:04,2.0,580.0,2.0,4.37.5,23807.0,2.0,,,,,,,,,,,,,,,,,,,
41,openface,cmusatyalab/openface,,,face,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-06-14 17:20:44.000000,2023-06-14 17:20:41,735.0,3468.0,762.0,73.0,14785.0,Face recognition with deep neural networks.,30.0,28,True,1.0,4.0,9.0,370.0,2016-02-25 17:42:46,66.0,1717.0,3.0,0.2.1,,66.0,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,159686.0,,,,,,70.0,,,,,,,,,
42,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-06-22 17:43:30.000000,2023-06-22 09:45:24,1721.0,750.0,51.0,1087.0,6500.0,An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform powered by Casbin and AI gateway..,130.0,28,True,248.0,100.0,103.0,753.0,2023-06-22 09:57:50,1.0,1830.0,2.0,1.347.1,,1.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-06-22 09:37:18.345743,58575.0,,,,,,8.0,,,,,,,,,
43,logto,logto-io/logto,,,idp,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-06-22 17:07:53.000000,2023-06-21 08:05:33,4345.0,215.0,34.0,3779.0,5944.0,Logto is a cost-effective open-source alternative to Auth0. It offers a seamless developer experience and is well-..,37.0,28,True,459.0,43.0,54.0,204.0,2023-06-07 04:49:52,6.0,625.0,2.0,1.5.0,2030.0,6.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-06-21 08:22:44.076332,11525.0,,,,,,1.0,,,,,,,,,
44,boulder,letsencrypt/boulder,,,pki,['linux-foundation'],https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-06-22 16:06:03.000000,2023-06-21 17:26:26,6219.0,528.0,139.0,4126.0,4661.0,"An ACME-based certificate authority, written in Go.",125.0,28,True,116.0,72.0,185.0,2625.0,2023-06-21 16:18:26,,22442.0,2.0,release-2023-06-21,53554.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-06-21 19:03:21.734946,1924963.0,,,,,,12.0,,,,,,,,,
45,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-06-22 15:15:21.000000,2023-06-22 14:05:47,2252.0,198.0,24.0,4237.0,3818.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,55.0,28,True,208.0,100.0,364.0,1146.0,2023-06-22 05:16:47,1.0,424.0,2.0,2.29.0,2120.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,,https://charts.zitadel.com,,,,,
46,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-05-05 21:07:42.000000,2023-05-04 20:09:28,1191.0,148.0,31.0,1503.0,3100.0,Oso is a batteries-included framework for building authorization in your application.,62.0,28,True,12.0,100.0,101.0,99.0,2023-04-03 23:25:23,70.0,41481.0,3.0,0.27.0,2384.0,70.0,,,,,,,,,,,oso,https://pypi.org/project/oso,41396.0,,,,,,
47,node-solid-server,nodesolidserver/node-solid-server,,,decentralized,['solid'],https://github.com/nodeSolidServer/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-04-17 21:26:30.000000,2023-04-06 13:30:49,2951.0,284.0,82.0,828.0,1742.0,Solid server on top of the file-system in NodeJS.,85.0,28,True,7.0,51.0,278.0,610.0,2023-03-17 17:09:04,38.0,9193.0,1.0,5.7.7,,38.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-04-06 13:43:13.183129,873163.0,,,solid-server,https://www.npmjs.com/package/solid-server,878.0,4.0,,,,,,,,,
