,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,trending,helm_id,maven_id,maven_url,gem_url,brew_id,apt_id,github,github-id
12,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,41,True,nextauthjs/next-auth,,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2026-04-14 21:43:37.000000,2026-04-14 21:43:31,3947.0,8.0,3985.0,111.0,3347.0,386.0,4688.0,28197.0,2026-04-14 21:06:16,next-auth@4.24.14,,14936290.0,100.0,480837.0,480837.0,903.0,,,,,1.0,next-auth,https://www.npmjs.com/package/next-auth,14936290.0,,,,,,,,,,,,,
13,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2026-04-22 14:23:45.000000,2026-04-22 14:23:43,4743.0,179.0,2346.0,223.0,5345.0,248.0,2254.0,14173.0,2026-04-22 12:43:18,1.14.3,5963695.0,2776779.0,81.0,14764.0,14764.0,481.0,https://hub.docker.com/r/coredns/coredns,2026-04-22 12:44:41.454579,165.0,329715478.0,1.0,,,,,,,,,,,,,,,,
14,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-04-23 12:39:33.000000,2026-04-23 12:39:32,10784.0,333.0,2309.0,145.0,4693.0,161.0,3570.0,13769.0,2026-04-21 15:35:06,1.19.5,120394306.0,3087033.0,100.0,2551.0,2551.0,557.0,,,,,1.0,,,,,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,41,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-04-22 08:13:47.000000,2026-04-22 08:13:47,1819.0,24.0,496.0,62.0,543.0,87.0,309.0,2964.0,2025-06-20 05:53:03,3.3.1,,319217170.0,50.0,647930.0,647930.0,204.0,,,,,1.0,,,,oauthlib,https://pypi.org/project/oauthlib,319217170.0,,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-04-23 16:27:55.000000,2026-04-23 16:27:55,2115.0,10.0,3028.0,182.0,346.0,8.0,1230.0,22615.0,2026-03-01 10:18:45,0.0.99,,894211.0,19.0,8604.0,8604.0,97.0,,,,,1.0,,,,deepface,https://pypi.org/project/deepface,894211.0,,,,,,,,,,
17,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,39,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-04-03 15:45:42.000000,2026-04-03 15:45:42,10594.0,18.0,1647.0,136.0,1453.0,124.0,1057.0,11473.0,2026-03-30 14:41:48,1.1.0,,1686384.0,15.0,4155.0,4155.0,274.0,,,,,1.0,,,,speechbrain,https://pypi.org/project/speechbrain,1686384.0,,,,,,,,,,
18,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-04-18 10:59:50.000000,2026-04-18 10:59:19,1766.0,54.0,521.0,57.0,308.0,118.0,420.0,5283.0,2026-04-19 20:34:09,1.7.0,,125887816.0,53.0,51857.0,51857.0,142.0,,,,,1.0,,,,authlib,https://pypi.org/project/authlib,125887816.0,authlib/authlib,,,,,,,,,
19,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-04-23 17:29:45.000000,2026-04-23 17:29:44,23253.0,734.0,4532.0,781.0,25174.0,1229.0,5306.0,35475.0,2026-04-14 20:07:04,2.0.0,,,100.0,15695.0,15695.0,1616.0,,,,,1.0,,,,,,,,,,,,,,,,
20,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,quay.io/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2026-04-23 18:22:24.000000,2026-04-23 18:22:24,30855.0,847.0,8099.0,393.0,23766.0,2400.0,15891.0,34033.0,2026-04-15 13:58:02,26.6.1,1063671.0,18028.0,100.0,,,1800.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,1.0,,,,,,,,37.0,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,False,jaredhanson/passport,,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1235.0,292.0,166.0,355.0,430.0,23533.0,,,,26963958.0,,1321986.0,1321986.0,38.0,,,,,2.0,passport,https://www.npmjs.com/package/passport,26963958.0,,,,,,,,,,,,,
22,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],37,True,ory/kratos,oryd/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-04-23 09:03:38.000000,2026-04-23 09:03:36,5105.0,129.0,1103.0,112.0,2254.0,146.0,1290.0,13614.0,2026-03-20 14:10:32,26.2.0,59956.0,1216885.0,49.0,55.0,55.0,245.0,https://hub.docker.com/r/oryd/kratos,2026-03-20 14:10:20.091266,22.0,115528173.0,1.0,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
23,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,37,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-04-23 10:09:05.000000,2026-04-23 10:00:27,1767.0,33.0,300.0,38.0,596.0,13.0,498.0,6897.0,2026-04-20 04:58:05,@casl/ability@6.8.1,,5006587.0,100.0,102230.0,102230.0,78.0,,,,,1.0,@casl/ability,https://www.npmjs.com/package/@casl/ability,5006587.0,,,,,,,,,,,,,
24,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,oryd/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-04-14 07:13:13.000000,2026-04-14 07:13:12,4438.0,70.0,1513.0,235.0,1938.0,101.0,1493.0,17163.0,2026-03-20 13:23:08,26.2.0,567462.0,3284061.0,100.0,,,322.0,https://hub.docker.com/r/oryd/hydra,2026-03-20 13:22:55.749711,78.0,429429657.0,2.0,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,animcogn/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13488.0,1542.0,250.0,779.0,598.0,56346.0,2018-04-02 17:18:43,1.2.2,1455.0,241613.0,2.0,5632.0,5632.0,54.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,10889.0,2.0,,,,face_recognition,https://pypi.org/project/face_recognition,241501.0,,,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source Agent-first Identity and Access Management (IAM) /LLM MCP & agent gateway and auth server with web UI..,,,35,True,casdoor/casdoor,casbin/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-04-23 17:11:34.536973,2026-04-23 16:53:38,3555.0,358.0,1635.0,74.0,2776.0,92.0,2191.0,13488.0,2026-04-23 17:03:22,3.38.0,1423.0,18859.0,100.0,12.0,12.0,286.0,https://hub.docker.com/r/casbin/casdoor,2026-04-23 17:11:34.536973,23.0,1150815.0,2.0,,,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,35,True,apereo/cas,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-04-23 17:57:07.000000,2026-04-23 17:18:57,32824.0,1401.0,3922.0,583.0,7521.0,,,11453.0,2026-04-04 03:04:39,7.3.6,3880.0,8671.0,100.0,21.0,21.0,374.0,https://hub.docker.com/r/apereo/cas,2026-04-22 02:00:36.128450,131.0,1503447.0,2.0,,,,,,,,,,,,,,,,
28,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",35,True,spiffe/spire,ghcr.io/spiffe/spire-server,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-04-23 19:07:20.000000,2026-04-23 18:29:50,7782.0,213.0,589.0,77.0,5196.0,113.0,1586.0,2324.0,2026-04-08 19:23:31,1.14.5,820556.0,13907.0,100.0,210.0,210.0,258.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,2.0,,,,,,,,,,,,,,,,
29,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-04-15 11:10:22.000000,2026-03-31 03:02:56,4901.0,6.0,1941.0,187.0,1925.0,265.0,1754.0,12594.0,2025-03-05 07:11:35,r1.5.0,,1654129.0,17.0,170.0,170.0,163.0,,,,,2.0,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,1654129.0,,,,,,,,,,
30,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,33,False,deepinsight/insightface,animcogn/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2026-03-29 11:01:56.000000,2026-03-29 11:01:56,2397.0,11.0,5920.0,515.0,211.0,1220.0,1395.0,28509.0,2023-04-02 07:43:27,0.7,13095384.0,363762.0,1.0,5021.0,5021.0,67.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,281.0,2.0,,,,,,,,,,,,,,,,
31,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-04-23 14:45:01.000000,2026-04-23 06:33:01,9393.0,616.0,1381.0,165.0,9480.0,55.0,1368.0,27601.0,2026-04-12 07:25:12,4.39.19,51310.0,814.0,100.0,,,285.0,,,,,2.0,,,,,,,,,,,,,,,,
32,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-04-23 17:31:00.466053,2026-04-23 17:15:41,4282.0,177.0,323.0,41.0,5140.0,81.0,1006.0,4766.0,2026-04-08 20:21:36,0.32.5,57430.0,18543458.0,100.0,24.0,24.0,102.0,https://hub.docker.com/r/pomerium/pomerium,2026-04-23 17:31:00.466053,13.0,1613205210.0,2.0,,,,,,,,,,,,,,,,
33,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,33,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-04-17 11:16:49.000000,2026-04-17 11:08:08,2794.0,55.0,760.0,66.0,287.0,,3.0,3721.0,2026-04-17 11:16:54,9.8.2,,989049.0,100.0,2115.0,2115.0,76.0,,,,,2.0,oidc-provider,https://www.npmjs.com/package/oidc-provider,989049.0,,,,,1.0,,,,,,,,
34,casbin,https://github.com/apache/casbin,authorization,"Apache Casbin: an authorization library that supports access control models like ACL, RBAC, ABAC.",,,32,True,casbin/casbin,,https://github.com/apache/casbin,Apache-2.0,2017-04-08 07:51:23,2026-04-23 16:58:54.000000,2026-04-23 16:57:00,1166.0,4.0,1727.0,235.0,646.0,46.0,891.0,20030.0,2026-01-26 17:06:22,3.10.0,,2572293.0,100.0,,,164.0,,,,,2.0,casbin,https://www.npmjs.com/package/casbin,575912.0,casbin,https://pypi.org/project/casbin,1996381.0,apache/casbin,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
35,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],32,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-04-23 13:30:47.000000,2026-04-23 13:30:44,3869.0,236.0,1800.0,166.0,3228.0,336.0,887.0,10766.0,2026-03-03 13:43:12,2.45.1,362.0,2.0,94.0,195.0,195.0,298.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,,,,,,
36,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-04-23 16:35:31.000000,2026-04-23 16:12:38,5522.0,154.0,377.0,49.0,2405.0,102.0,475.0,6637.0,2026-04-14 19:23:03,1.51.1,205672.0,149819.0,100.0,166.0,166.0,75.0,https://hub.docker.com/r/authzed/spicedb,2026-04-14 19:34:31.359952,7.0,8122051.0,2.0,,,,,,,,3.0,,,,,,,,
37,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-04-22 13:28:49.000000,2026-04-22 13:28:47,1920.0,93.0,377.0,55.0,1406.0,43.0,293.0,5327.0,2026-03-20 14:29:37,26.2.0,45467.0,531218.0,55.0,41.0,41.0,87.0,https://hub.docker.com/r/oryd/keto,2026-03-20 14:29:27.004272,10.0,51478686.0,2.0,,,,,,,,,,,,,,,,
38,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-04-22 13:29:20.000000,2026-04-22 13:29:19,1684.0,68.0,394.0,47.0,773.0,65.0,310.0,3596.0,2026-03-20 11:40:09,26.2.0,26025.0,881347.0,100.0,16.0,16.0,125.0,https://hub.docker.com/r/oryd/oathkeeper,2026-03-20 11:39:54.790499,44.0,90752317.0,2.0,,,,,,,,,,,,,,,,
39,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-04-23 12:19:53.000000,2026-04-23 12:19:52,18542.0,916.0,966.0,108.0,9602.0,1487.0,16419.0,893.0,2025-10-24 04:51:27,7.2.0,21673.0,14377.0,100.0,,,747.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,2014674.0,2.0,,,,,,,,,,,,,,,,
40,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-04-23 16:26:57.000000,2026-04-23 16:09:55,21717.0,1221.0,1553.0,70.0,17008.0,790.0,3341.0,21112.0,2026-04-07 16:18:57,ersion/2026.2.2,6931.0,266.0,100.0,,,533.0,,,,,2.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,
41,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-04-23 09:37:57.000000,2026-04-23 07:30:26,8430.0,322.0,759.0,50.0,7728.0,168.0,641.0,11943.0,2026-03-31 10:45:02,1.38.0,7895.0,7242.0,82.0,8.0,8.0,90.0,https://hub.docker.com/r/svhd/logto,2026-04-23 07:35:47.723952,7.0,410551.0,2.0,,,,,,,,,,,,,,,,
42,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,31,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-04-22 05:04:33.000000,2026-04-22 05:04:32,2694.0,98.0,316.0,21.0,2842.0,236.0,981.0,4865.0,2026-03-13 05:28:21,1.9.2,421.0,9464.0,55.0,42.0,42.0,152.0,https://hub.docker.com/r/kanidm/server,2026-03-20 01:54:51.431132,4.0,813551.0,2.0,,,,,,,,,,,,,,,,
43,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-04-23 19:12:05.000000,2026-04-23 13:24:13,5066.0,92.0,301.0,186.0,6205.0,109.0,286.0,4042.0,2026-04-07 15:32:19,0.21.2,,308543.0,75.0,13.0,13.0,204.0,https://hub.docker.com/r/hashicorp/boundary,2026-04-07 15:42:13.962398,19.0,23140733.0,3.0,,,,,,,,,,,,,,,,
44,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-04-23 12:20:18.000000,2026-04-23 12:04:10,4453.0,247.0,1030.0,59.0,7513.0,869.0,2698.0,13614.0,2026-04-01 07:41:31,4.13.1,17097.0,1554.0,100.0,1.0,1.0,253.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,,https://charts.zitadel.com,,,,,,,
45,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2026-04-23 07:04:41.000000,2026-04-23 06:44:54,2581.0,61.0,1041.0,100.0,906.0,39.0,864.0,5477.0,2026-03-04 12:04:39,.5.9.0,,,71.0,11199.0,11199.0,341.0,,,,,2.0,,,,,,,,,,,,doorkeeper,,,,
46,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-04-23 14:08:54.000000,2026-04-15 10:54:27,3035.0,24.0,141.0,59.0,340.0,41.0,322.0,1102.0,2026-04-15 13:40:47,5.9.1,44882.0,24250.0,47.0,230.0,230.0,53.0,,,,,2.0,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,23867.0,,,,,,,,,,
47,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-04-23 18:05:52.000000,2026-04-23 16:54:24,35996.0,450.0,168.0,30.0,8138.0,259.0,5334.0,626.0,2026-04-22 06:54:36,2.0.0,10725.0,357.0,100.0,16.0,16.0,144.0,,,,,3.0,,,,,,,,,,,,,,,,
48,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2026-04-15 16:32:15.000000,2026-04-15 16:32:15,168.0,2.0,11896.0,729.0,365.0,,,98262.0,2025-06-26 01:06:09,20250625,,2159572.0,13.0,21.0,21.0,81.0,,,,,3.0,,,,openai-whisper,https://pypi.org/project/openai-whisper,2159572.0,,,,,,,,,,
49,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-04-23 15:35:32.000000,2026-04-23 15:35:20,1885.0,29.0,13262.0,1520.0,542.0,3.0,898.0,55191.0,2025-12-21 02:44:08,3.0.0,85032.0,988.0,5.0,,,98.0,,,,,3.0,,,,,,,,,,,,,,,,
50,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-04-23 02:07:20.000000,2026-04-17 13:14:22,7321.0,84.0,617.0,130.0,5391.0,178.0,3126.0,5703.0,2026-04-20 21:09:05,0.20260420.0,33721.0,16649.0,100.0,,,148.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-04-07 23:09:29.625326,13.0,2056037.0,2.0,,,,,,,,,,,,,,,,
51,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,ghcr.io/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-04-23 07:40:22.000000,2026-04-23 07:39:08,2482.0,166.0,177.0,34.0,2649.0,50.0,367.0,4364.0,2026-02-04 09:23:48,0.51.0,72812.0,1193.0,75.0,34.0,34.0,33.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,3.0,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
52,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,bamos/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3480.0,738.0,77.0,5.0,382.0,15484.0,2024-10-04 12:56:15,0.2.2,,1288.0,5.0,96.0,96.0,31.0,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163683.0,3.0,,,,,,,,,,,,,,,,
53,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],28,True,decentralized-identity/did-jwt,,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2026-04-21 23:05:26.000000,2025-12-01 01:00:51,676.0,,70.0,37.0,235.0,5.0,87.0,371.0,2025-08-25 22:29:37,8.0.18,,391919.0,100.0,6227.0,6227.0,42.0,,,,,1.0,did-jwt,https://www.npmjs.com/package/did-jwt,391919.0,,,,,,,,,,,,,
