,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,maven_id,maven_url,helm_id,trending,gem_url,brew_id,apt_id,new_addition,github,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2026-03-09 23:21:22.000000,2026-03-09 23:20:24,4631.0,124.0,2331.0,225.0,5222.0,250.0,2235.0,14165.0,2026-03-06 06:34:58,1.14.2,5725766.0,2785112.0,80.0,14612.0,14612.0,472.0,https://hub.docker.com/r/coredns/coredns,2026-03-06 06:36:36.159566,165.0,328186364.0,1.0,,,,,,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-03-12 17:42:44.000000,2026-03-12 17:42:44,10644.0,330.0,2271.0,145.0,4588.0,156.0,3550.0,13676.0,2026-03-10 15:50:52,1.20.0,113616328.0,2913239.0,100.0,2469.0,2469.0,547.0,,,,,1.0,,,,,,,,,,,,,,,,,
14,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,41,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-02-28 14:03:09.000000,2026-02-28 14:03:09,1818.0,34.0,490.0,62.0,527.0,84.0,305.0,2958.0,2025-06-20 05:53:03,3.3.1,,287355248.0,50.0,645440.0,645440.0,202.0,,,,,1.0,oauthlib,https://pypi.org/project/oauthlib,287355248.0,,,,,,,,,,,,,,
15,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,40,True,nextauthjs/next-auth,,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2026-02-07 21:40:57.000000,2026-02-07 21:40:57,3940.0,1.0,3989.0,109.0,3334.0,384.0,4682.0,28139.0,2025-10-26 02:41:51,@auth/azure-tables-adapter@1.11.1,,13543775.0,100.0,479239.0,479239.0,899.0,,,,,1.0,,,,next-auth,https://www.npmjs.com/package/next-auth,13543775.0,,,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-03-01 10:18:45.000000,2026-03-01 10:15:23,2113.0,33.0,3008.0,180.0,343.0,5.0,1230.0,22368.0,2026-03-01 10:18:45,0.0.99,,689947.0,19.0,8537.0,8537.0,96.0,,,,,1.0,deepface,https://pypi.org/project/deepface,689947.0,,,,,,,,,,,,,,
17,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-03-10 07:27:11.000000,2026-03-10 07:27:11,1736.0,101.0,514.0,57.0,302.0,116.0,419.0,5242.0,2026-03-02 07:50:44,1.6.9,,92649985.0,50.0,49976.0,49976.0,141.0,,,,,1.0,authlib,https://pypi.org/project/authlib,92649985.0,,,,authlib/authlib,,,,,,,,,,
18,casbin,https://github.com/apache/casbin,authorization,"Apache Casbin: an authorization library that supports access control models like ACL, RBAC, ABAC.",,,38,True,casbin/casbin,,https://github.com/apache/casbin,Apache-2.0,2017-04-08 07:51:23,2026-03-12 16:24:31.000000,2026-03-12 16:24:31,1164.0,22.0,1723.0,235.0,640.0,43.0,889.0,19912.0,2026-01-26 17:06:22,3.10.0,,1831844.0,100.0,3590.0,3590.0,164.0,,,,,1.0,casbin,https://pypi.org/project/casbin,1366025.0,casbin,https://www.npmjs.com/package/casbin,465819.0,apache/casbin,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,,,
19,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-03-01 18:29:27.000000,2026-03-01 18:29:26,10585.0,14.0,1633.0,136.0,1444.0,123.0,1057.0,11308.0,2025-04-07 17:05:07,1.0.3,,1600381.0,14.0,4086.0,4086.0,274.0,,,,,1.0,speechbrain,https://pypi.org/project/speechbrain,1600381.0,,,,,,,,,,,,,,
20,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,38,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-03-12 05:16:31.000000,2026-03-06 21:16:08,1748.0,72.0,298.0,38.0,569.0,17.0,493.0,6844.0,2026-01-18 07:40:26,@casl/vue@2.2.6,,4355499.0,100.0,102043.0,102043.0,77.0,,,,,1.0,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,4355499.0,,,,,,,,,,,
21,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-03-12 18:14:07.000000,2026-03-12 18:14:05,22879.0,540.0,4488.0,780.0,25116.0,1213.0,5292.0,35202.0,2026-03-05 06:37:01,1.21.4,,,100.0,15553.0,15553.0,1614.0,,,,,1.0,,,,,,,,,,,,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,False,jaredhanson/passport,,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1232.0,292.0,162.0,354.0,430.0,23526.0,,,,25528541.0,,1320429.0,1320429.0,38.0,,,,,2.0,,,,passport,https://www.npmjs.com/package/passport,25528541.0,,,,,,,,,,,
23,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,oryd/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-03-09 11:18:04.000000,2026-03-09 11:18:03,4407.0,64.0,1513.0,235.0,1933.0,96.0,1489.0,17073.0,2025-11-07 14:57:03,25.4.0,537060.0,3306072.0,100.0,,,321.0,https://hub.docker.com/r/oryd/hydra,2025-11-07 14:56:52.769480,78.0,429046681.0,2.0,,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
24,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],36,True,ory/kratos,oryd/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-03-09 11:17:59.000000,2026-03-09 11:17:58,5026.0,84.0,1096.0,112.0,2250.0,152.0,1278.0,13548.0,2025-11-07 15:48:50,25.4.0,57227.0,1227889.0,48.0,55.0,55.0,244.0,https://hub.docker.com/r/oryd/kratos,2025-11-07 15:48:38.908032,22.0,115348974.0,1.0,,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,animcogn/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13465.0,1545.0,250.0,780.0,598.0,56209.0,2018-04-02 17:18:43,1.2.2,1449.0,211092.0,2.0,5618.0,5618.0,54.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,10680.0,2.0,face_recognition,https://pypi.org/project/face_recognition,210981.0,,,,,,,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source AI-first Identity and Access Management (IAM) /AI MCP gateway and auth server with web UI supporting..,,,35,True,casdoor/casdoor,casbin/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-03-12 16:44:45.083391,2026-03-12 16:27:16,3334.0,209.0,1575.0,74.0,2676.0,105.0,2121.0,13161.0,2026-03-12 16:36:59,2.354.0,1175.0,16485.0,100.0,12.0,12.0,275.0,https://hub.docker.com/r/casbin/casdoor,2026-03-12 16:44:45.083391,23.0,1033389.0,1.0,,,,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,35,True,apereo/cas,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-03-12 17:22:33.000000,2026-03-12 00:35:14,32123.0,1221.0,3926.0,584.0,7281.0,,,11427.0,2026-02-06 05:18:05,7.3.4,3500.0,8486.0,100.0,21.0,21.0,373.0,https://hub.docker.com/r/apereo/cas,2026-03-12 01:11:47.341484,131.0,1464177.0,1.0,,,,,,,,,,,,,,,,,
28,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-03-02 08:02:00.000000,2026-03-02 08:00:24,4898.0,3.0,1942.0,188.0,1916.0,263.0,1757.0,12552.0,2025-03-05 07:11:35,r1.5.0,,1462745.0,17.0,168.0,168.0,161.0,,,,,2.0,paddlepaddle,https://pypi.org/project/paddlepaddle,1462745.0,,,,,,,,,,,,,,
29,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,ghcr.io/spiffe/spire-server,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-03-12 18:02:32.000000,2026-03-12 17:23:24,7665.0,185.0,575.0,78.0,5052.0,115.0,1562.0,2242.0,2026-03-03 23:05:47,1.14.2,847056.0,14117.0,100.0,207.0,207.0,248.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,2.0,,,,,,,,,,,,,,,,,
30,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-03-12 13:15:14.000000,2026-03-12 09:15:44,9029.0,439.0,1360.0,162.0,9082.0,60.0,1353.0,27152.0,2025-11-29 12:13:04,4.39.15,44426.0,705.0,100.0,,,280.0,,,,,2.0,,,,,,,,,,,,,,,,,
31,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-03-12 17:40:54.534706,2026-03-12 15:38:17,4209.0,162.0,319.0,41.0,5043.0,80.0,997.0,4714.0,2026-02-19 00:39:43,0.32.2,57124.0,18758397.0,100.0,23.0,23.0,101.0,https://hub.docker.com/r/pomerium/pomerium,2026-03-12 17:40:54.534706,13.0,1613148881.0,2.0,,,,,,,,,,,,,,,,,
32,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-02-11 01:26:55.000000,2025-10-07 20:35:19,3632.0,,420.0,27.0,562.0,97.0,362.0,604.0,2025-10-07 20:02:21,7.5.4,,2542554.0,55.0,2202.0,2202.0,181.0,,,,,2.0,pysaml2,https://pypi.org/project/pysaml2,2542554.0,,,,,,,,,,,,,,
33,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,animcogn/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2026-02-02 04:44:50.000000,2025-11-25 04:00:35,2386.0,,5874.0,510.0,211.0,1216.0,1395.0,28066.0,2023-04-02 07:43:27,0.7,12416979.0,354772.0,1.0,4946.0,4946.0,67.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,250.0,2.0,,,,,,,,,,,,,,,,,
34,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-03-11 23:51:11.000000,2026-03-11 23:36:13,5457.0,148.0,366.0,49.0,2316.0,99.0,470.0,6510.0,2026-03-02 15:24:51,1.49.2,197299.0,133065.0,100.0,153.0,153.0,75.0,https://hub.docker.com/r/authzed/spicedb,2026-03-02 15:33:41.133275,7.0,7077463.0,2.0,,,,,,,,,,,,,,,,,
35,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-03-09 11:17:58.000000,2026-03-09 11:17:57,1871.0,68.0,373.0,55.0,1406.0,39.0,295.0,5295.0,2025-11-07 14:48:11,25.4.0,43984.0,536168.0,54.0,40.0,40.0,86.0,https://hub.docker.com/r/oryd/keto,2025-11-07 14:47:59.149121,10.0,51424267.0,2.0,,,,,,,,,,,,,,,,,
36,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-03-11 19:35:11.000000,2026-03-11 19:35:06,2775.0,40.0,761.0,66.0,282.0,,,3702.0,2026-03-06 22:44:35,9.7.0,,799722.0,100.0,2054.0,2054.0,76.0,,,,,2.0,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,799722.0,,,,,,,,,,,
37,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-03-09 11:18:32.000000,2026-03-09 11:18:31,1643.0,47.0,385.0,47.0,770.0,64.0,307.0,3583.0,2025-11-07 14:57:21,25.4.0,25410.0,889071.0,100.0,16.0,16.0,123.0,https://hub.docker.com/r/oryd/oathkeeper,2025-11-07 14:57:11.257698,44.0,90659351.0,2.0,,,,,,,,,,,,,,,,,
38,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-03-12 18:40:58.000000,2026-03-12 18:40:58,18124.0,615.0,953.0,108.0,9281.0,1447.0,16140.0,883.0,2025-10-24 04:51:27,7.2.0,21180.0,14420.0,100.0,,,743.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,2007140.0,2.0,,,,,,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-03-12 17:19:03.000000,2026-03-12 17:19:02,21105.0,1101.0,1504.0,69.0,16197.0,809.0,3217.0,20485.0,2026-03-03 20:13:59,ersion/2026.2.1,5073.0,195.0,100.0,,,516.0,,,,,2.0,,,,,,,,,,https://charts.goauthentik.io,,,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-03-12 17:50:00.000000,2026-03-12 10:34:04,8265.0,297.0,714.0,50.0,7524.0,162.0,618.0,11692.0,2026-02-28 09:31:48,1.37.1,7557.0,6727.0,81.0,6.0,6.0,83.0,https://hub.docker.com/r/svhd/logto,2026-03-12 10:39:35.545713,6.0,374341.0,2.0,,,,,,,,,,,,,,,,,
41,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-03-12 08:45:02.000000,2026-03-12 08:45:00,3758.0,163.0,1787.0,167.0,3118.0,335.0,877.0,10653.0,2026-03-03 13:43:12,2.45.1,362.0,2.0,94.0,192.0,192.0,290.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,1.0,,,,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-03-12 18:16:14.000000,2026-03-11 15:15:53,5019.0,74.0,301.0,189.0,6075.0,109.0,284.0,4023.0,2026-02-13 13:52:10,0.21.1,,305923.0,74.0,13.0,13.0,200.0,https://hub.docker.com/r/hashicorp/boundary,2026-02-13 14:00:41.345158,19.0,22638375.0,3.0,,,,,,,,,,,,,,,,,
43,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-03-12 16:02:00.000000,2026-03-12 16:01:58,4365.0,248.0,965.0,61.0,7347.0,833.0,2653.0,13230.0,2026-03-11 08:12:57,3.4.8,15616.0,1419.0,100.0,1.0,1.0,244.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,,,https://charts.zitadel.com,,,,,,,
44,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,30,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-03-12 06:48:46.000000,2026-03-12 06:48:46,2655.0,87.0,306.0,21.0,2789.0,232.0,962.0,4681.0,2026-02-24 03:04:34,1.9.1,420.0,8942.0,54.0,42.0,42.0,148.0,https://hub.docker.com/r/kanidm/server,2026-02-24 03:58:23.691033,4.0,759692.0,3.0,,,,,,,,,,,,,,,,,
45,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-03-12 18:45:36.000000,2026-03-12 10:42:26,35744.0,298.0,164.0,30.0,7816.0,315.0,5146.0,613.0,2026-01-22 17:46:22,1.16.0,9100.0,313.0,100.0,14.0,14.0,143.0,,,,,3.0,,,,,,,,,,,,,,,,,
46,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-12-15 10:18:21.000000,2025-06-26 01:05:47,166.0,,11685.0,709.0,355.0,,,95842.0,2025-06-26 01:06:09,20250625,,1792333.0,13.0,21.0,21.0,79.0,,,,,3.0,openai-whisper,https://pypi.org/project/openai-whisper,1792333.0,,,,,,,,,,,,,,
47,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-03-12 11:34:12.000000,2026-03-12 10:27:16,1861.0,10.0,13274.0,1526.0,537.0,2.0,896.0,55034.0,2025-12-21 02:44:08,3.0.0,75444.0,887.0,5.0,,,98.0,,,,,3.0,,,,,,,,,,,1.0,,,,,,
48,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-03-12 17:09:24.000000,2026-03-11 23:07:05,7293.0,91.0,618.0,132.0,5351.0,176.0,3114.0,5686.0,2026-03-09 22:19:29,0.20260309.0,35338.0,16728.0,100.0,,,147.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-03-09 18:18:10.190464,13.0,2051046.0,2.0,,,,,,,,,,,,,,,,,
49,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2026-03-05 11:28:49.000000,2026-03-04 12:02:44,2534.0,14.0,1040.0,102.0,890.0,49.0,852.0,5463.0,2026-03-04 12:04:39,.5.9.0,,,71.0,11091.0,11091.0,337.0,,,,,2.0,,,,,,,,,,,,doorkeeper,,,,,
50,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,29,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2026-01-04 22:01:38.000000,2026-01-04 21:59:47,9734.0,14.0,556.0,52.0,7293.0,,1780.0,4606.0,2025-06-30 22:09:21,ockam_v0.157.0,15071.0,327.0,100.0,189.0,189.0,318.0,,,,,3.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,,
51,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,29,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-03-01 20:53:02.000000,2026-02-18 14:30:05,3027.0,42.0,139.0,59.0,336.0,40.0,322.0,1080.0,2026-01-22 14:54:05,5.9.0,41371.0,35897.0,46.0,224.0,224.0,53.0,,,,,2.0,yubikey-manager,https://pypi.org/project/yubikey-manager,35541.0,,,,,,,,-1.0,,,,,,
52,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,bamos/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3478.0,740.0,77.0,5.0,382.0,15477.0,2024-10-04 12:56:15,0.2.2,,1298.0,5.0,96.0,96.0,31.0,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163640.0,3.0,,,,,,,,,,,,,,,,,
53,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,ghcr.io/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-03-12 11:34:15.000000,2026-03-12 11:34:14,2410.0,167.0,172.0,33.0,2561.0,48.0,366.0,4257.0,2026-02-04 09:23:48,0.51.0,56863.0,947.0,75.0,33.0,33.0,33.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,3.0,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
