,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id,updated_github_id,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",40,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-02-26 16:10:29.000000,2024-02-05 17:12:34,3835.0,39.0,1927.0,238.0,4138.0,103.0,2120.0,11768.0,2024-02-26 16:10:29,1.11.2,68.0,5855.0,5855.0,375.0,,,2845586.0,1.0,coredns/coredns,7133947.0,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,150.0,262715868.0,1.0,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],40,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2024-02-29 17:21:55.000000,2024-02-26 15:34:45,8558.0,391.0,1928.0,146.0,3331.0,178.0,3065.0,11258.0,2024-02-23 10:49:04,1.14.3,100.0,841.0,841.0,437.0,,,2071532.0,1.0,,72503651.0,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-02-29 18:00:47.418918,2024-02-29 17:23:05,4990.0,93.0,1222.0,123.0,4110.0,332.0,2143.0,8975.0,2024-02-29 17:24:55,0.62.0,100.0,3472.0,3472.0,442.0,,,5298157.0,1.0,openpolicyagent/opa,5780690.0,https://hub.docker.com/r/openpolicyagent/opa,2024-02-29 18:00:47.418918,41.0,508728618.0,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,40,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-02-06 14:46:47.000000,2024-01-06 20:50:34,1694.0,14.0,465.0,68.0,496.0,79.0,293.0,2726.0,2023-01-10 13:13:43,3.2.2,48.0,499880.0,499880.0,195.0,,,88593045.0,1.0,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,88593045.0,,,,,,,,
16,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-02-29 17:56:37.000000,2024-02-29 17:16:44,24228.0,776.0,5942.0,374.0,14509.0,1816.0,7159.0,19182.0,2024-02-22 09:05:48,23.0.7,51.0,,,1341.0,,,66069.0,1.0,quay.io/keycloak/keycloak,2510645.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
17,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],37,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-02-29 11:24:11.000000,2024-02-12 11:38:34,3784.0,48.0,1342.0,232.0,1751.0,84.0,1400.0,14977.0,2024-02-12 11:37:33,2.2.0,100.0,3.0,3.0,291.0,,,3951212.0,1.0,oryd/hydra,724043.0,https://hub.docker.com/r/oryd/hydra,2024-02-12 11:37:33.043853,75.0,413806629.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
18,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,37,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-02-28 22:05:44.000000,2024-02-26 19:58:53,9677.0,77.0,1198.0,126.0,1128.0,82.0,921.0,7442.0,2024-02-26 20:54:49,1.0.0,11.0,1543.0,1543.0,229.0,,,403917.0,1.0,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,403917.0,,,,,,,,
19,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2024-02-28 01:46:29.000000,2024-02-28 01:46:28,1378.0,16.0,396.0,62.0,188.0,78.0,349.0,4170.0,2023-12-17 12:54:58,1.3.0,33.0,31077.0,31077.0,107.0,,,8050371.0,1.0,,,,,,,,authlib,https://pypi.org/project/authlib,8050371.0,,,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-02-29 17:38:03.000000,2024-02-29 16:45:22,19171.0,566.0,3898.0,827.0,19676.0,987.0,4907.0,29367.0,2024-01-30 20:59:02,1.15.5,100.0,6993.0,6993.0,1445.0,,,,1.0,,,,,,,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-02-13 20:03:34.000000,2024-01-26 23:38:34,625.0,1.0,1201.0,310.0,157.0,336.0,428.0,22278.0,,,,1009611.0,1009611.0,38.0,https://www.npmjs.com/package/passport,10379182.0,10379182.0,2.0,,,,,,,-1.0,,,,,,,,,,,
22,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server replacing your Auth0, Okta, Firebase with hardened security and PassKeys, SMS, OIDC, Social..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-02-29 17:58:47.000000,2024-02-23 09:42:00,4143.0,95.0,867.0,108.0,1841.0,174.0,1050.0,10360.0,2024-02-20 12:26:07,1.1.0,44.0,327.0,327.0,220.0,,,1636423.0,1.0,oryd/kratos,37760.0,https://hub.docker.com/r/oryd/kratos,2024-02-20 12:26:07.173920,17.0,112860079.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
23,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,36,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-02-27 11:07:52.000000,2024-02-27 11:07:52,1271.0,165.0,1695.0,129.0,141.0,7.0,902.0,9352.0,2024-02-25 15:43:18,0.0.85,5.0,2632.0,2632.0,55.0,,,212825.0,1.0,,,,,,,,deepface,https://pypi.org/project/deepface,212825.0,,,,,,,,
24,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-02-27 06:09:02.000000,2024-02-27 06:07:26,1552.0,28.0,252.0,41.0,383.0,10.0,436.0,5428.0,2024-02-23 20:35:37,@casl/ability@6.7.0,100.0,66875.0,66875.0,68.0,https://www.npmjs.com/package/@casl/ability,2257768.0,2257768.0,1.0,,,,,,,,,,,,,,,,,,
25,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-02-22 16:28:58.000000,2024-02-07 15:34:31,1084.0,4.0,1569.0,232.0,486.0,44.0,743.0,16583.0,2024-02-07 15:35:41,2.82.0,100.0,2746.0,2746.0,139.0,https://www.npmjs.com/package/casbin,193446.0,271028.0,2.0,,,,,,,,casbin,https://pypi.org/project/casbin,77582.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
26,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,34,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3534.0,337.0,109.0,433.0,390.0,15923.0,2020-03-22 14:01:55,0.22.2,38.0,8433.0,8433.0,25.0,https://www.npmjs.com/package/face-api.js,149554.0,149554.0,2.0,,,,,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-02-29 00:43:07.642984,2024-02-25 14:04:03,24878.0,700.0,3825.0,605.0,4672.0,,,10696.0,2024-02-02 12:57:17,7.0.1,100.0,21.0,21.0,346.0,,,6118.0,2.0,apereo/cas,,https://hub.docker.com/r/apereo/cas,2024-02-29 00:43:07.642984,129.0,911725.0,,,,,,,,,,,,
28,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-02-29 18:14:13.000000,2024-02-28 22:34:05,8066.0,646.0,553.0,59.0,5779.0,316.0,1427.0,4294.0,2024-01-09 21:11:36,ockam_v0.116.0,100.0,183.0,183.0,306.0,,,13402.0,2.0,,348475.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,
29,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-02-28 20:50:03.675769,2024-02-28 19:58:31,3337.0,157.0,274.0,38.0,3957.0,78.0,880.0,3803.0,2024-01-10 15:55:52,0.25.0,100.0,16.0,16.0,91.0,,,20853778.0,2.0,pomerium/pomerium,53672.0,https://hub.docker.com/r/pomerium/pomerium,2024-02-28 20:50:03.675769,10.0,1272016341.0,,,,,,,,,,,,
30,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2024-02-07 18:51:16.000000,2024-01-30 13:06:56,3603.0,4.0,387.0,31.0,523.0,72.0,356.0,536.0,2024-01-30 11:50:06,7.5.0,51.0,1686.0,1686.0,172.0,,,611152.0,2.0,,,,,,,,pysaml2,https://pypi.org/project/pysaml2,611152.0,,,,,,,,
31,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-02-24 12:51:59.000000,2022-06-10 09:12:18,238.0,,12982.0,1564.0,227.0,730.0,584.0,51231.0,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,,,72811.0,2.0,animcogn/face_recognition,1226.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7496.0,,face_recognition,https://pypi.org/project/face_recognition,72707.0,,,,,,,,
32,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2024-02-26 03:00:29.000000,2024-02-26 03:00:28,4737.0,5.0,1721.0,183.0,1688.0,442.0,1354.0,9797.0,2023-04-14 09:36:52,r1.4.1,15.0,92.0,92.0,133.0,,,214273.0,2.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,214273.0,,,,,,,,
33,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired permissions database to enable fine-grained access control for customer..",,,32,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-02-29 16:48:14.000000,2024-02-28 19:24:13,3556.0,186.0,229.0,37.0,1325.0,98.0,321.0,4303.0,2024-02-02 17:00:01,1.29.1,66.0,46.0,46.0,42.0,,,66952.0,2.0,authzed/spicedb,48293.0,https://hub.docker.com/r/authzed/spicedb,2024-02-02 17:00:01.288986,6.0,1958629.0,,,,,,,,,,,,
34,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-02-29 17:08:15.000000,2024-02-28 22:33:32,6452.0,143.0,429.0,79.0,3570.0,142.0,1211.0,1628.0,2024-02-22 22:40:28,1.9.0,97.0,136.0,136.0,185.0,,,2822.0,2.0,ghcr.io/spiffe/spire-server,214490.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
35,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-02-29 04:16:52.000000,2024-02-27 13:45:41,2767.0,142.0,1510.0,174.0,2068.0,288.0,805.0,8864.0,2024-01-25 14:31:22,2.38.0,81.0,152.0,152.0,233.0,,,3.0,2.0,quay.io/dexidp/dex,306.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
36,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,31,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-02-28 10:17:40.000000,2024-02-28 10:07:53,2299.0,188.0,967.0,59.0,1406.0,105.0,1122.0,8176.0,2024-02-28 10:17:41,1.552.1,100.0,3.0,3.0,167.0,,,3330.0,2.0,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2024-02-28 08:12:42.918977,13.0,133215.0,,,,,,,,,,,,
37,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-02-29 18:01:13.000000,2024-02-29 17:40:01,3989.0,453.0,257.0,200.0,4130.0,81.0,250.0,3763.0,2024-02-29 17:52:18,0.15.1,51.0,8.0,8.0,155.0,,,261888.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2024-02-29 17:54:22.065218,12.0,12832538.0,,,,,,,,,,,,
38,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,31,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2024-02-21 20:28:08.000000,2024-02-19 04:26:42,442.0,65.0,154.0,37.0,113.0,2.0,88.0,771.0,2024-01-11 16:18:23,2.0.0,25.0,992.0,992.0,27.0,,,78487.0,2.0,,,,,,,,webauthn,https://pypi.org/project/webauthn,78487.0,,,,,,,,
39,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,31,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2024-02-29 18:06:03.000000,2024-02-29 18:06:03,12734.0,761.0,697.0,117.0,6623.0,3996.0,9148.0,737.0,2023-01-30 04:38:12,6.1.0,100.0,,,699.0,,,16089.0,2.0,wso2/wso2is,10356.0,https://hub.docker.com/r/wso2/wso2is,2021-03-12 19:48:53.680553,34.0,1866498.0,,,,,,,,,,,,
40,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,30,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-12-24 05:29:03.000000,2023-12-24 05:29:03,2283.0,2.0,4991.0,496.0,152.0,1023.0,1353.0,20555.0,2023-04-02 07:43:27,0.7,1.0,1727.0,1727.0,58.0,,,213260.0,3.0,animcogn/insightface,2132590.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,141.0,,,,,,,,,,,,
41,logto,https://github.com/logto-io/logto,idp,The better identity infrastructure for developers and the open-source alternative to Auth0.,,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-02-29 15:00:20.000000,2024-02-29 10:14:19,5710.0,401.0,304.0,39.0,5051.0,74.0,271.0,6921.0,2024-02-26 10:22:18,1.13.1,54.0,11.0,11.0,48.0,,,1441.0,2.0,svhd/logto,2763.0,https://hub.docker.com/r/svhd/logto,2024-02-26 10:21:17.012407,2.0,42125.0,,,,,,,,,,,,
42,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2024-02-27 09:17:44.000000,2024-02-27 09:16:56,2668.0,63.0,119.0,59.0,304.0,27.0,255.0,794.0,2024-01-31 11:57:05,5.3.0,36.0,129.0,129.0,44.0,,,62856.0,2.0,,8910.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,62759.0,,,,,,,,
43,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,29,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-02-29 16:37:44.000000,2024-02-29 16:37:43,5317.0,298.0,995.0,158.0,5168.0,70.0,1109.0,18934.0,2022-12-21 09:01:04,4.37.5,100.0,,,147.0,,,699.0,2.0,,34269.0,,,,,,,,,,,,,,,,
44,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-02-24 11:01:49.000000,2024-02-24 11:01:48,2400.0,11.0,1002.0,106.0,826.0,29.0,834.0,5237.0,2024-02-14 08:01:40,.5.6.9,65.0,8541.0,8541.0,319.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,
45,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2024-02-28 09:19:12.000000,2024-02-27 16:36:47,1503.0,21.0,323.0,57.0,1122.0,36.0,273.0,4514.0,,,52.0,26.0,26.0,71.0,,,716958.0,2.0,oryd/keto,20873.0,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,7.0,50880533.0,,,,,,,,,,,,
46,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,29,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2024-02-02 18:38:20.000000,2024-01-13 04:41:13,1213.0,10.0,167.0,30.0,1526.0,108.0,101.0,3356.0,2024-01-13 04:08:30,0.27.3,100.0,83.0,83.0,66.0,,,34502.0,2.0,,2714.0,,,,,,oso,https://pypi.org/project/oso,34427.0,,,,,,,,
47,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],29,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2024-02-29 16:18:27.000000,2024-02-29 16:18:26,1361.0,7.0,325.0,48.0,719.0,52.0,277.0,3173.0,2024-02-29 16:17:31,0.40.7,100.0,3.0,3.0,110.0,,,1141801.0,3.0,oryd/oathkeeper,35797.0,https://hub.docker.com/r/oryd/oathkeeper,2024-02-29 16:17:31.079046,36.0,87881970.0,1.0,,,,,,,,,,,
48,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2024-02-26 21:43:01.000000,2024-02-22 20:17:12,3048.0,79.0,290.0,79.0,844.0,283.0,619.0,1760.0,2023-12-17 18:26:45,5.7.8,52.0,3.0,3.0,86.0,https://www.npmjs.com/package/solid-server,565.0,9327.0,1.0,nodesolidserver/node-solid-server,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-02-22 15:52:31.144612,4.0,990134.0,,,,,,,,,,,,
49,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2024-02-20 18:42:32.000000,2024-02-20 18:42:31,5271.0,104.0,287.0,41.0,770.0,51.0,260.0,1286.0,2024-02-09 14:54:54,7.0.1,54.0,1685.0,1685.0,297.0,,,,2.0,,,,,,,,,,,,,,,,,,
50,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-02-29 16:34:32.000000,2024-02-28 18:12:15,616.0,8.0,64.0,40.0,215.0,5.0,84.0,314.0,2024-02-28 18:12:43,8.0.1,100.0,4506.0,4506.0,41.0,https://www.npmjs.com/package/did-jwt,191566.0,191566.0,1.0,,,,,,,,,,,,,,,,,,
51,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2024-02-22 06:54:07.000000,2024-01-12 15:14:56,1787.0,4.0,12681.0,1525.0,516.0,15.0,829.0,48629.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,4231.0,3.0,,253901.0,,,,,,,,,,,,,,,,
52,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,28,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9261.0,1115.0,131.0,541.0,801.0,44689.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3721.0,3.0,,174907.0,,,,,,,,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3498.0,761.0,74.0,10.0,370.0,15012.0,2016-02-25 17:42:46,0.2.1,4.0,70.0,70.0,30.0,,,1596.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161276.0,,,,,,,,,,,,
54,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-02-29 17:00:54.000000,2024-02-26 21:47:08,6465.0,102.0,554.0,139.0,4410.0,196.0,2720.0,4936.0,2024-02-26 15:56:24,release-2024-02-26,100.0,,,129.0,,,21015.0,2.0,letsencrypt/boulder-tools,65780.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-02-14 23:57:39.136100,13.0,1967148.0,,,,,,,,,,,,
