,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id,updated_github_id,github-id
13,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-05-30 17:32:18.892213,2024-05-30 16:54:54,5087.0,96.0,1256.0,125.0,4217.0,356.0,2182.0,9260.0,2024-05-30 15:17:12,0.65.0,100.0,3961.0,3961.0,458.0,,,5801305.0,1.0,7235244.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2024-05-30 17:32:18.892213,42.0,572399290.0,,,,,,,,,,,,
14,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",40,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-05-29 19:41:09.000000,2024-05-29 19:41:09,3912.0,77.0,1979.0,238.0,4262.0,145.0,2139.0,12049.0,2023-08-15 20:00:30,1.11.1,68.0,6164.0,6164.0,387.0,,,2955111.0,1.0,7421602.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,152.0,281695383.0,,,,,,,,,,,,
15,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],39,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-05-30 17:17:45.000000,2024-05-30 17:17:45,25118.0,870.0,6184.0,371.0,15667.0,1792.0,8318.0,20318.0,2024-05-08 06:35:37,24.0.4,56.0,,,1409.0,,,68831.0,1.0,2822077.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
16,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-05-30 14:49:42.000000,2024-05-30 14:20:23,9816.0,119.0,1277.0,128.0,1203.0,84.0,950.0,8026.0,2024-02-26 20:54:49,1.0.0,11.0,1904.0,1904.0,234.0,,,2411285.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,2411285.0,,,,,,,,,
17,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,38,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-02-06 14:46:47.000000,2024-01-06 20:50:34,1694.0,,466.0,67.0,496.0,80.0,293.0,2757.0,2023-01-10 13:13:43,3.2.2,48.0,529698.0,529698.0,195.0,,,128620141.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,128620141.0,,,,,,,,,
18,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-05-08 13:26:12.000000,2024-01-26 23:38:34,625.0,,1210.0,307.0,158.0,339.0,428.0,22535.0,,,,1064170.0,1064170.0,38.0,https://www.npmjs.com/package/passport,10308680.0,10308680.0,1.0,,,,,,,,,,,,,,,,,,
19,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2024-05-30 05:40:09.000000,2024-05-27 12:01:59,1400.0,21.0,414.0,60.0,201.0,82.0,351.0,4326.0,2023-12-17 12:54:58,1.3.0,33.0,33033.0,33033.0,115.0,,,10502288.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,10502288.0,,,,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-05-30 18:18:57.000000,2024-05-30 17:19:32,19745.0,564.0,3977.0,822.0,21115.0,1013.0,5003.0,29846.0,2024-05-29 20:47:30,1.16.3,100.0,7263.0,7263.0,1490.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,
21,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-05-30 12:26:01.000000,2024-05-22 07:56:44,3820.0,36.0,1360.0,232.0,1776.0,82.0,1411.0,15242.0,2024-02-12 11:37:33,2.2.0,100.0,3.0,3.0,292.0,,,3883476.0,2.0,782475.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2024-02-12 11:37:33.043853,75.0,418273568.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
22,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server replacing your Auth0, Okta, Firebase with hardened security and PassKeys, SMS, OIDC, Social..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-05-30 08:48:48.000000,2024-05-29 10:21:58,4231.0,85.0,903.0,111.0,1926.0,187.0,1082.0,10701.0,2024-02-20 12:26:07,1.1.0,44.0,327.0,327.0,224.0,,,1573978.0,1.0,39806.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-02-20 12:26:07.173920,17.0,113271404.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,,
23,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,36,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-05-20 08:13:52.000000,2024-05-20 08:13:52,1458.0,187.0,1822.0,135.0,197.0,5.0,1035.0,10412.0,2024-05-02 07:29:37,0.0.91,11.0,3202.0,3202.0,62.0,,,63049.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,63049.0,-1.0,,,,,,,,
24,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,35,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-05-07 01:15:24.000000,2024-05-07 01:11:32,1094.0,10.0,1587.0,233.0,496.0,44.0,759.0,17023.0,2024-05-07 01:12:59,2.89.0,100.0,3042.0,3042.0,144.0,https://www.npmjs.com/package/casbin,196732.0,326916.0,1.0,,,,,,,casbin,https://pypi.org/project/casbin,130184.0,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,
25,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-05-28 21:33:30.000000,2024-05-28 21:31:14,1575.0,23.0,254.0,40.0,402.0,16.0,444.0,5666.0,2024-03-27 10:22:02,@casl/mongoose@7.3.1,100.0,73317.0,73317.0,68.0,https://www.npmjs.com/package/@casl/ability,2229581.0,2229581.0,1.0,,,,,,,,,,,,,,,,,,
26,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-05-30 18:19:05.000000,2024-05-30 17:27:17,8530.0,455.0,555.0,58.0,6178.0,315.0,1442.0,4363.0,2024-05-28 23:43:02,ockam_v0.124.0,100.0,185.0,185.0,311.0,,,12559.0,2.0,364228.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,,
27,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,33,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3565.0,340.0,109.0,436.0,391.0,16187.0,2020-03-22 14:01:55,0.22.2,38.0,9260.0,9260.0,25.0,https://www.npmjs.com/package/face-api.js,102923.0,102923.0,2.0,,,,,,,,,,,,,,,,,,
28,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-05-30 16:44:51.000000,2024-05-30 16:37:25,25244.0,299.0,3845.0,602.0,4715.0,,,10832.0,2024-04-26 13:09:39,7.0.4,100.0,21.0,21.0,348.0,,,6366.0,2.0,,apereo/cas,https://hub.docker.com/r/apereo/cas,2024-05-30 00:43:37.815981,129.0,967700.0,,,,,,,,,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired permissions database to enable fine-grained access control for customer..",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-05-26 23:50:34.000000,2024-05-23 18:43:43,3826.0,248.0,242.0,40.0,1436.0,92.0,342.0,4620.0,2024-05-24 19:52:10,1.33.0,73.0,62.0,62.0,45.0,,,75402.0,2.0,65632.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2024-05-24 19:51:26.089403,7.0,2420588.0,,,,,,,,,,,,
30,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-05-29 23:47:52.000000,2024-05-28 20:57:09,3437.0,98.0,276.0,38.0,4088.0,80.0,896.0,3910.0,2024-05-17 18:11:53,0.26.0,100.0,18.0,18.0,92.0,,,23649259.0,2.0,56809.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2024-05-28 21:43:54.458416,10.0,1513481399.0,,,,,,,,,,,,
31,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-05-29 17:04:30.000000,2022-06-10 09:12:18,238.0,,13079.0,1565.0,228.0,739.0,586.0,52080.0,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,,,195285.0,2.0,1231.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7830.0,face_recognition,https://pypi.org/project/face_recognition,195180.0,1.0,,,,,,,,
32,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-05-30 16:35:16.000000,2024-05-27 13:28:25,6623.0,166.0,444.0,77.0,3773.0,137.0,1262.0,1690.0,2024-05-14 21:46:51,1.9.6,100.0,148.0,148.0,187.0,,,3615.0,2.0,256720.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
33,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2024-05-30 16:47:13.000000,2024-05-30 02:45:29,13228.0,477.0,699.0,117.0,6885.0,4146.0,9313.0,752.0,2024-03-04 08:48:32,7.0.0,100.0,,,700.0,,,16173.0,2.0,11569.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2024-03-08 07:03:37.681569,35.0,1921993.0,,,,,,,,,,,,
34,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,32,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2024-05-21 16:26:25.000000,2024-04-24 15:14:06,3605.0,2.0,395.0,31.0,528.0,78.0,357.0,544.0,2024-01-30 11:50:06,7.5.0,51.0,1775.0,1775.0,174.0,,,621824.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,621824.0,,,,,,,,,
35,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,31,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2024-05-15 06:40:00.000000,2024-05-08 07:52:03,2292.0,9.0,5130.0,504.0,159.0,1058.0,1359.0,21612.0,2023-04-02 07:43:27,0.7,1.0,2172.0,2172.0,60.0,,,254112.0,2.0,3303444.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,141.0,,,,,,,,,,,,
36,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,31,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-05-30 13:26:34.000000,2024-05-30 13:22:39,5809.0,488.0,1040.0,159.0,5636.0,61.0,1167.0,20132.0,2024-04-15 03:51:44,4.38.8,100.0,,,161.0,,,767.0,2.0,38368.0,,,,,,,,,,,,,,,,,
37,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,31,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2024-05-29 07:16:53.000000,2024-05-23 11:34:04,4741.0,2.0,1786.0,185.0,1703.0,498.0,1370.0,10337.0,2023-04-14 09:36:52,r1.4.1,15.0,107.0,107.0,135.0,,,195550.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,195550.0,-1.0,,,,,,,,
38,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-05-30 15:42:19.000000,2024-05-29 10:52:08,2904.0,137.0,1550.0,173.0,2206.0,300.0,815.0,9120.0,2024-04-09 11:55:18,2.39.1,83.0,160.0,160.0,241.0,,,3.0,2.0,316.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
39,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,31,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-05-28 12:53:18.968515,2024-05-28 12:33:55,2443.0,144.0,1050.0,64.0,1487.0,101.0,1243.0,9039.0,2024-05-28 12:47:04,1.623.0,100.0,3.0,3.0,177.0,,,5024.0,2.0,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2024-05-28 12:53:18.968515,13.0,216060.0,,,,,,,,,,,,
40,logto,https://github.com/logto-io/logto,idp,The better identity infrastructure for developers and the open-source alternative to Auth0.,,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-05-30 15:41:03.000000,2024-05-30 07:12:26,6216.0,500.0,346.0,39.0,5481.0,91.0,305.0,7407.0,2024-05-15 03:04:58,1.16.0,57.0,13.0,13.0,55.0,,,2616.0,2.0,3374.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2024-05-30 07:20:48.646220,3.0,86877.0,,,,,,,,,,,,
41,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-05-24 09:31:35.000000,2024-05-24 09:31:30,2424.0,24.0,1013.0,108.0,836.0,30.0,838.0,5261.0,2024-04-24 10:44:56,5.7.0,66.0,8810.0,8810.0,323.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],30,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-05-30 17:27:05.120317,2024-05-30 15:59:13,4192.0,175.0,271.0,200.0,4489.0,92.0,256.0,3814.0,2024-04-30 17:15:47,0.16.0,56.0,8.0,8.0,163.0,,,282758.0,3.0,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2024-05-30 17:27:05.120317,15.0,14703421.0,,,,-1.0,,,,,,,,
43,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,30,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2024-03-28 21:00:00.000000,2024-03-28 20:56:35,462.0,20.0,156.0,37.0,117.0,5.0,89.0,811.0,2024-03-28 21:00:33,2.1.0,26.0,1085.0,1085.0,27.0,,,127930.0,2.0,,,,,,,webauthn,https://pypi.org/project/webauthn,127930.0,,,,,,,,,
44,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2024-05-19 10:05:03.000000,2024-05-19 10:04:48,1823.0,35.0,12816.0,1527.0,520.0,17.0,834.0,49558.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,5233.0,3.0,329725.0,,,,,,,,,,,,,,,,,
45,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2024-05-22 07:31:10.000000,2024-05-22 07:31:08,1514.0,11.0,335.0,56.0,1128.0,36.0,277.0,4657.0,,,52.0,30.0,30.0,72.0,,,690151.0,2.0,22005.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,8.0,51046574.0,,,,,,,,,,,,
46,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],29,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2024-05-23 09:49:39.000000,2024-05-22 07:31:22,1365.0,4.0,335.0,47.0,723.0,55.0,281.0,3219.0,2024-02-29 16:17:31,0.40.7,100.0,3.0,3.0,111.0,,,1107349.0,3.0,37858.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2024-02-29 16:17:31.079046,36.0,88549152.0,,,,-1.0,,,,,,,,
47,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2024-05-30 16:27:51.000000,2024-04-30 17:12:40,3113.0,65.0,291.0,78.0,856.0,284.0,629.0,1771.0,2024-04-30 17:30:03,5.7.11,55.0,3.0,3.0,87.0,https://www.npmjs.com/package/solid-server,727.0,9385.0,1.0,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1004346.0,,,,,,,,,,,,
48,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-05-30 15:20:32.000000,2024-03-25 23:02:49,622.0,6.0,65.0,40.0,218.0,5.0,85.0,323.0,2024-03-25 23:03:17,8.0.4,100.0,4834.0,4834.0,41.0,https://www.npmjs.com/package/did-jwt,194896.0,194896.0,1.0,,,,,,,,,,,,,,,,,,
49,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,28,False,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9532.0,1130.0,131.0,540.0,801.0,45859.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3631.0,3.0,181575.0,,,,,,,,,,,,,,,,,
50,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3498.0,759.0,74.0,10.0,371.0,15096.0,2016-02-25 17:42:46,0.2.1,4.0,75.0,75.0,30.0,,,1554.0,3.0,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161638.0,,,,,,,,,,,,
51,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,28,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2024-05-30 16:11:52.000000,2024-05-30 15:40:37,3102.0,221.0,436.0,39.0,5274.0,493.0,1689.0,7304.0,2024-05-30 08:36:20,2.52.2,100.0,,,111.0,,,642.0,3.0,2569.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,https://charts.zitadel.com,,,,,,,
52,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-05-30 03:12:54.000000,2024-05-29 22:46:35,6570.0,105.0,568.0,138.0,4519.0,194.0,2779.0,5030.0,2024-05-28 13:59:23,release-2024-05-28,100.0,,,133.0,,,20633.0,2.0,65798.0,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-05-22 16:59:07.715309,13.0,1977550.0,,,,,,,,,,,,
53,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,28,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2024-03-13 15:25:23.000000,2024-01-13 04:41:13,1213.0,,169.0,30.0,1526.0,108.0,101.0,3418.0,2024-01-13 04:08:30,0.27.3,100.0,83.0,83.0,67.0,,,53855.0,3.0,2730.0,,,,,,oso,https://pypi.org/project/oso,53785.0,,,,,,,,,
54,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure and fast identity management platform.",,,28,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2024-05-30 10:36:18.000000,2024-05-30 10:22:19,1916.0,90.0,151.0,19.0,1944.0,179.0,596.0,2326.0,2024-05-30 01:11:36,1.2.2,22.0,42.0,42.0,78.0,,,4836.0,3.0,255.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2024-05-30 01:27:39.668701,,304473.0,,,,1.0,,,,,,,,
